"Time","MFC in Counter value ls","MFC in Measure ccs/min","MFC in Setpoint ccs/min","Meter Out Counter value ls","Meter Out Measure ccs/min"
﻿"2022-05-16 14:43:06.765",0,0,0,0,0
﻿"2022-05-16 14:44:06.778",0.0149303,0,0,0,0
﻿"2022-05-16 14:45:06.767",0.01709013,2.932571,0,0,0
﻿"2022-05-16 14:46:06.766",0.07476902,60.58392,60,0,0
﻿"2022-05-16 14:47:06.770",0.1347049,59.84161,60,0,0
﻿"2022-05-16 14:48:06.777",0.1946185,59.94059,60,0,0
﻿"2022-05-16 14:49:06.765",0.2544716,59.60452,60,0,0
﻿"2022-05-16 14:50:06.767",0.314382,59.54886,60,0,0
﻿"2022-05-16 14:51:06.771",0.3743232,59.83545,60,0,0
﻿"2022-05-16 14:52:06.775",0.4343444,59.97107,60,0.04225545,29.71216
﻿"2022-05-16 14:53:06.764",0.4943067,60.00285,60,0.09062621,68.62266
﻿"2022-05-16 14:54:06.767",0.5542821,60.05103,60,0.1424494,44.36425
﻿"2022-05-16 14:55:06.771",0.6143053,59.93414,60,0.1847523,59.79057
﻿"2022-05-16 14:56:06.759",0.6742611,59.94731,60,0.2281617,0
﻿"2022-05-16 14:57:06.763",0.7342494,59.98826,60,0.2759156,0
﻿"2022-05-16 14:58:06.768",0.7942466,59.96417,60,0.3175897,46.14157
﻿"2022-05-16 14:59:06.760",0.8542037,59.70337,60,0.3760172,0
﻿"2022-05-16 15:00:06.759",0.9142063,60.21667,60,0.416778,39.76148
﻿"2022-05-16 15:01:06.763",0.97421,60.0159,60,0.4816363,91.39389
﻿"2022-05-16 15:02:06.751",1.034189,60.05988,60,0.5258534,0
﻿"2022-05-16 15:03:06.755",1.094176,59.93149,60,0.5924965,91.29547
﻿"2022-05-16 15:04:06.747",1.15417,59.93,60,0.6433636,0
﻿"2022-05-16 15:05:06.747",1.214141,59.97335,60,0.6972187,158.3511
﻿"2022-05-16 15:06:06.737",1.274212,60.42272,60,0.7561707,133.3711
﻿"2022-05-16 15:07:06.739",1.334192,59.98155,60,0.8206254,106.4614
﻿"2022-05-16 15:08:06.729",1.394139,60.03342,60,0.8781588,132.0866
﻿"2022-05-16 15:09:06.731",1.454142,59.91129,60,0.948209,92.22197
﻿"2022-05-16 15:10:06.721",1.514132,59.95512,60,0.9945344,85.34212
﻿"2022-05-16 15:11:06.723",1.57415,59.96543,60,1.070205,94.25586
﻿"2022-05-16 15:12:06.715",1.634141,59.98906,60,1.117206,86.03787
﻿"2022-05-16 15:13:06.714",1.694108,60.13927,60,1.193567,97.4072
﻿"2022-05-16 15:14:06.719",1.754102,59.96742,60,1.257809,0
﻿"2022-05-16 15:15:06.709",1.814117,59.97673,60,1.30958,149.291
﻿"2022-05-16 15:16:06.710",1.874115,60.07069,60,1.379118,93.24451
﻿"2022-05-16 15:17:06.703",1.934121,59.96513,60,1.445213,63.85432
﻿"2022-05-16 15:18:06.702",1.994073,59.90916,60,1.498577,0
﻿"2022-05-16 15:19:06.689",2.054067,59.94092,60,1.559229,95.34638
﻿"2022-05-16 15:20:06.694",2.114042,60.00755,60,1.624441,127.7346
﻿"2022-05-16 15:21:06.698",2.174059,60.30423,60,1.690826,68.05381
﻿"2022-05-16 15:22:06.690",2.234061,59.9448,60,1.763044,121.5066
﻿"2022-05-16 15:23:06.690",2.294065,59.96825,60,1.837914,92.33134
﻿"2022-05-16 15:24:06.694",2.35406,59.97483,60,1.897249,0
﻿"2022-05-16 15:25:06.683",2.414052,59.96221,60,1.952282,165.9431
﻿"2022-05-16 15:26:06.686",2.474048,59.99204,60,2.024667,112.0738
﻿"2022-05-16 15:27:06.674",2.534017,59.99083,60,2.096322,97.40418
﻿"2022-05-16 15:28:06.678",2.59402,59.89037,60,2.163593,94.31519
﻿"2022-05-16 15:29:06.682",2.654011,60.01012,60,2.224065,102.3833
﻿"2022-05-16 15:30:06.687",2.714022,59.96838,60,2.28971,0
﻿"2022-05-16 15:31:06.674",2.774026,59.95842,60,2.362486,0
﻿"2022-05-16 15:32:06.678",2.834022,59.97746,60,2.403142,23.4163
﻿"2022-05-16 15:33:06.666",2.894005,59.99633,60,2.486132,0
﻿"2022-05-16 15:34:06.670",2.953994,59.96164,60,2.536314,125.2694
﻿"2022-05-16 15:35:06.674",3.013994,59.93695,60,2.609602,0
﻿"2022-05-16 15:36:06.663",3.073987,59.98214,60,2.667044,0
﻿"2022-05-16 15:37:06.666",3.133967,59.98617,60,2.745607,0
﻿"2022-05-16 15:38:06.670",3.193974,60.08617,60,2.81852,0
﻿"2022-05-16 15:39:06.675",3.253952,59.95311,60,2.878083,0
﻿"2022-05-16 15:40:06.662",3.313965,59.99652,60,2.939922,147.7236
﻿"2022-05-16 15:41:06.667",3.373927,59.98862,60,3.011233,0
﻿"2022-05-16 15:42:06.671",3.433948,59.97783,60,3.077808,0
﻿"2022-05-16 15:43:06.663",3.493946,59.97105,60,3.159996,85.60229
﻿"2022-05-16 15:44:06.662",3.553924,59.97204,60,3.220839,97.29066
﻿"2022-05-16 15:45:06.651",3.613888,59.98564,60,3.283203,108.0987
﻿"2022-05-16 15:46:06.654",3.673873,59.97426,60,3.352318,0
﻿"2022-05-16 15:47:06.645",3.733864,59.98819,60,3.398573,125.6247
﻿"2022-05-16 15:48:06.646",3.793852,60.00867,60,3.491987,0
﻿"2022-05-16 15:49:06.650",3.853845,59.99609,60,3.562485,84.51249
﻿"2022-05-16 15:50:06.638",3.913854,59.99754,60,3.624772,96.26882
