"Time","MFC in Counter value ls","MFC in Measure ccs/min","MFC in Setpoint ccs/min","Meter Out Counter value ls","Meter Out Measure ccs/min"
﻿"2022-05-20 09:39:11.013",0,0,0,0,0
﻿"2022-05-20 09:40:08.289",0,0,0,0,0
﻿"2022-05-20 09:41:08.290",0,0,0,0,0
﻿"2022-05-20 09:42:08.290",0,0,0,0,0
﻿"2022-05-20 09:43:08.290",0,0,0,0,0
﻿"2022-05-20 09:44:08.289",0,0,0,0,0
﻿"2022-05-20 09:45:08.290",0,0,0,0,0
﻿"2022-05-20 09:46:08.289",0,0,0,0,0
﻿"2022-05-20 09:47:08.289",0,0,0,0,0
﻿"2022-05-20 09:48:08.290",0,0,0,0,0
﻿"2022-05-20 09:49:08.290",0,0,0,0,0
﻿"2022-05-20 09:50:08.289",0,0,0,0,0
﻿"2022-05-20 09:51:08.290",0,0,0,0,0
﻿"2022-05-20 09:52:08.289",0,0,0,0,0
﻿"2022-05-20 09:53:08.289",0,0,0,0,0
﻿"2022-05-20 09:54:08.290",0,0,0,0,0
﻿"2022-05-20 09:55:08.291",0,0,0,0,0
﻿"2022-05-20 09:56:08.290",0,0,0,0,0
﻿"2022-05-20 09:57:08.289",0,0,0,0,0
﻿"2022-05-20 09:58:08.290",0,0,0,0,0
﻿"2022-05-20 09:59:08.303",0.002506539,0.02568938,60,0,0
﻿"2022-05-20 10:00:08.288",0.05862173,54.03435,60,0,0
﻿"2022-05-20 10:01:08.291",0.1184759,70.63314,60,0,0
﻿"2022-05-20 10:02:08.295",0.178268,59.59602,60,0.02464278,0
﻿"2022-05-20 10:03:08.286",0.2382179,59.90979,60,0.04653186,0
﻿"2022-05-20 10:04:08.287",0.2981752,60.01239,60,0.05914279,0
﻿"2022-05-20 10:05:08.277",0.3581013,59.94374,60,0.05914279,0
﻿"2022-05-20 10:06:08.279",0.4180552,59.30135,60,0.1344984,82.77668
﻿"2022-05-20 10:07:08.267",0.4839795,74.96727,75,0.2080983,57.08279
﻿"2022-05-20 10:08:08.259",0.5589327,75.25236,75,0.2593853,0
﻿"2022-05-20 10:09:08.258",0.6339076,74.92224,75,0.2593853,0
﻿"2022-05-20 10:10:08.263",0.7088755,75.06361,75,0.2593853,0
﻿"2022-05-20 10:11:08.267",0.783846,74.94431,75,0.2593853,0
﻿"2022-05-20 10:12:08.254",0.8588145,74.88609,75,0.2903401,0
﻿"2022-05-20 10:13:08.258",0.9338202,75.51028,75,0.2903401,0
﻿"2022-05-20 10:14:08.246",1.008754,74.94036,75,0.2903401,0
﻿"2022-05-20 10:15:08.236",1.083776,74.88454,75,0.2903401,0
﻿"2022-05-20 10:16:08.228",1.158728,75.67109,75,0.2903401,0
﻿"2022-05-20 10:17:08.227",1.233701,74.9585,75,0.3911179,109.241
﻿"2022-05-20 10:18:08.230",1.308639,74.91309,75,0.4848059,85.69711
﻿"2022-05-20 10:19:08.219",1.383637,74.90959,75,0.5617062,95.62904
﻿"2022-05-20 10:20:08.222",1.458615,74.93533,75,0.6376284,0
﻿"2022-05-20 10:21:08.209",1.533596,75.05514,75,0.7183741,87.76478
﻿"2022-05-20 10:22:08.213",1.608556,74.96236,75,0.7992712,76.76839
﻿"2022-05-20 10:23:08.218",1.683527,75.03586,75,0.8678612,0
﻿"2022-05-20 10:24:08.209",1.758487,75.05743,75,0.9395553,107.6137
﻿"2022-05-20 10:25:08.209",1.833478,74.91682,75,1.025183,77.369
﻿"2022-05-20 10:26:08.199",1.908456,74.92448,75,1.101339,74.96128
﻿"2022-05-20 10:27:08.201",1.983441,74.94823,75,1.170512,90.1011
﻿"2022-05-20 10:28:08.207",2.058432,75.00345,75,1.250871,76.65513
﻿"2022-05-20 10:29:08.198",2.133453,74.93241,75,1.326772,75.27962
﻿"2022-05-20 10:30:08.199",2.208412,74.9661,75,1.401265,73.91446
﻿"2022-05-20 10:31:08.201",2.283381,74.9397,75,1.473997,71.99373
﻿"2022-05-20 10:32:08.189",2.358351,74.9305,75,1.539625,135.365
﻿"2022-05-20 10:33:08.194",2.433331,74.97678,75,1.632056,78.44733
﻿"2022-05-20 10:34:08.183",2.508323,74.95939,75,1.70886,76.06482
﻿"2022-05-20 10:35:08.185",2.583302,74.98805,75,1.772008,108.7613
﻿"2022-05-20 10:36:08.190",2.658281,75.02029,75,1.857205,77.73441
﻿"2022-05-20 10:37:08.177",2.733249,74.94682,75,1.927043,56.12588
﻿"2022-05-20 10:38:08.181",2.808261,74.93725,75,1.941445,0
﻿"2022-05-20 10:39:08.172",2.883238,74.9766,75,1.941445,0
﻿"2022-05-20 10:40:08.173",2.958232,74.89088,75,1.941445,0
﻿"2022-05-20 10:41:08.161",3.033227,75.11742,75,1.941445,0
﻿"2022-05-20 10:42:08.165",3.108277,74.94514,75,1.941445,0
﻿"2022-05-20 10:43:08.153",3.18324,75.06156,75,1.941445,0
﻿"2022-05-20 10:44:08.156",3.258286,75.05556,75,1.941445,0
﻿"2022-05-20 10:45:08.149",3.333292,74.98096,75,1.941445,0
﻿"2022-05-20 10:46:08.149",3.408293,75.12064,75,1.941445,0
