05/20/2022 09:39:02.9452

Time Stamp,Inlet Pressure (psia),Outlet Pressure (psia),Slim Tube 1 (C),Slim Tube 2 (C),Slim Tube 3 (C),Slim Tube 4 (C),Slim Tube 5 (C),Room Temp. (C), Box Temp (C),Excitation Voltage (VDC),Inlet Pressure (VDC),Outlet Pressure (VDC)Top Confining Temp (VDC)
05/20/2022 09:40:03.0380,345.968847,285.520239,-9999.000000,5.888117,5.526952,0.000000,0.000000,0.000000,0.000000,1.291990,1.119258,0.000000
05/20/2022 09:41:03.0357,345.975919,285.514632,-9999.000000,5.926311,5.442295,0.000000,0.000000,0.000000,0.000000,1.291995,1.119256,0.000000
05/20/2022 09:42:03.0371,345.988932,285.495845,-9999.000000,5.896808,5.387955,0.000000,0.000000,0.000000,0.000000,1.292006,1.119248,0.000000
05/20/2022 09:43:03.0358,345.979984,285.498985,-9999.000000,5.890218,5.383210,0.000000,0.000000,0.000000,0.000000,1.291999,1.119250,0.000000
05/20/2022 09:44:03.0367,345.978430,285.491709,-9999.000000,5.822736,5.423928,0.000000,0.000000,0.000000,0.000000,1.291997,1.119247,0.000000
05/20/2022 09:45:03.0362,345.952453,285.527191,-9999.000000,5.825016,5.443063,0.000000,0.000000,0.000000,0.000000,1.291977,1.119261,0.000000
05/20/2022 09:46:03.0368,345.969556,285.464325,-9999.000000,5.813524,5.440740,0.000000,0.000000,0.000000,0.000000,1.291990,1.119236,0.000000
05/20/2022 09:47:03.0373,345.987043,285.539275,-9999.000000,5.803919,5.443341,0.000000,0.000000,0.000000,0.000000,1.292004,1.119266,0.000000
05/20/2022 09:48:03.0379,345.977572,285.516775,-9999.000000,5.803784,5.400398,0.000000,0.000000,0.000000,0.000000,1.291997,1.119257,0.000000
05/20/2022 09:49:03.0375,345.979946,285.501950,-9999.000000,5.818394,5.501553,0.000000,0.000000,0.000000,0.000000,1.291999,1.119251,0.000000
05/20/2022 09:50:03.0380,345.979225,285.538054,-9999.000000,5.823002,5.527491,0.000000,0.000000,0.000000,0.000000,1.291998,1.119265,0.000000
05/20/2022 09:51:03.0386,345.956443,285.495945,-9999.000000,5.832813,5.483240,0.000000,0.000000,0.000000,0.000000,1.291980,1.119248,0.000000
05/20/2022 09:52:03.0391,345.956070,285.488221,-9999.000000,5.824539,5.510167,0.000000,0.000000,0.000000,0.000000,1.291980,1.119245,0.000000
05/20/2022 09:53:03.0387,345.950564,285.429616,-9999.000000,5.836813,5.527924,0.000000,0.000000,0.000000,0.000000,1.291975,1.119222,0.000000
05/20/2022 09:54:03.0392,345.975211,285.454134,-9999.000000,5.881311,5.750030,0.000000,0.000000,0.000000,0.000000,1.291995,1.119232,0.000000
05/20/2022 09:55:03.0398,345.953447,285.496443,-9999.000000,5.850332,6.235044,0.000000,0.000000,0.000000,0.000000,1.291977,1.119248,0.000000
05/20/2022 09:56:03.0393,345.957462,285.525720,-9999.000000,5.948734,6.509774,0.000000,0.000000,0.000000,0.000000,1.291981,1.119260,0.000000
05/20/2022 09:57:03.0409,345.982494,285.558760,-9999.000000,6.052857,6.436042,0.000000,0.000000,0.000000,0.000000,1.292001,1.119273,0.000000
05/20/2022 09:58:03.0404,345.961763,285.609790,-9999.000000,6.139999,6.424290,0.000000,0.000000,0.000000,0.000000,1.291984,1.119294,0.000000
