07/05/2022 16:13:10.9201

Time Stamp,Inlet Pressure (psia),Outlet Pressure (psia),Slim Tube 1 (C),Slim Tube 2 (C),Slim Tube 3 (C),Slim Tube 4 (C),Slim Tube 5 (C),Room Temp. (C), Box Temp (C),Excitation Voltage (VDC),Inlet Pressure (VDC),Outlet Pressure (VDC)Top Confining Temp (VDC)
07/05/2022 16:16:11.0180,297.544455,231.607568,-9999.000000,6.733619,5.573061,0.000000,0.000000,0.000000,0.000000,1.253286,1.097764,0.000000
07/05/2022 16:19:11.0139,300.151517,233.728286,-9999.000000,6.555563,5.460179,0.000000,0.000000,0.000000,0.000000,1.255370,1.098609,0.000000
07/05/2022 16:22:11.0155,301.234270,234.259306,-9999.000000,6.415222,5.497579,0.000000,0.000000,0.000000,0.000000,1.256235,1.098821,0.000000
07/05/2022 16:25:11.0152,301.895090,234.451399,-9999.000000,6.292612,5.450775,0.000000,0.000000,0.000000,0.000000,1.256763,1.098897,0.000000
07/05/2022 16:28:11.0159,302.405829,234.251732,-9999.000000,6.215054,5.501112,0.000000,0.000000,0.000000,0.000000,1.257171,1.098818,0.000000
07/05/2022 16:31:11.0175,303.454357,234.578541,-9999.000000,6.162508,5.490080,0.000000,0.000000,0.000000,0.000000,1.258009,1.098948,0.000000
07/05/2022 16:34:11.0172,305.937746,234.161574,-9999.000000,6.090221,5.474749,0.000000,0.000000,0.000000,0.000000,1.259994,1.098782,0.000000
07/05/2022 16:37:11.0188,306.445697,233.071983,-9999.000000,6.081312,5.458618,0.000000,0.000000,0.000000,0.000000,1.260400,1.098347,0.000000
07/05/2022 16:40:11.0185,306.995844,232.695796,-9999.000000,6.064611,5.457632,0.000000,0.000000,0.000000,0.000000,1.260840,1.098197,0.000000
07/05/2022 16:43:11.0202,307.732548,233.071626,-9999.000000,6.060052,5.491188,0.000000,0.000000,0.000000,0.000000,1.261429,1.098347,0.000000
07/05/2022 16:46:11.0228,308.684825,233.775404,-9999.000000,6.011594,5.506156,0.000000,0.000000,0.000000,0.000000,1.262190,1.098628,0.000000
07/05/2022 16:49:11.0215,309.447244,233.497921,-9999.000000,6.017291,5.525407,0.000000,0.000000,0.000000,0.000000,1.262799,1.098517,0.000000
07/05/2022 16:52:11.0231,310.955983,233.024683,-9999.000000,6.027307,5.495482,0.000000,0.000000,0.000000,0.000000,1.264005,1.098329,0.000000
07/05/2022 16:55:11.0238,312.278792,233.355703,-9999.000000,6.032748,5.535457,0.000000,0.000000,0.000000,0.000000,1.265062,1.098461,0.000000
07/05/2022 16:58:11.0245,313.623629,233.810354,-9999.000000,6.044530,5.457717,0.000000,0.000000,0.000000,0.000000,1.266137,1.098642,0.000000
07/05/2022 17:01:11.0271,314.570644,233.822605,-9999.000000,6.029169,5.512476,0.000000,0.000000,0.000000,0.000000,1.266894,1.098647,0.000000
07/05/2022 17:04:11.0258,315.539941,233.781924,-9999.000000,6.062412,5.473730,0.000000,0.000000,0.000000,0.000000,1.267669,1.098630,0.000000
07/05/2022 17:07:11.0275,317.125106,233.717679,-9999.000000,6.048338,5.469708,0.000000,0.000000,0.000000,0.000000,1.268936,1.098605,0.000000
07/05/2022 17:10:11.0281,319.019809,234.034905,-9999.000000,6.051797,5.513729,0.000000,0.000000,0.000000,0.000000,1.270450,1.098731,0.000000
