07/06/2022 15:01:43.8156

Time Stamp,Inlet Pressure (psia),Outlet Pressure (psia),Slim Tube 1 (C),Slim Tube 2 (C),Slim Tube 3 (C),Slim Tube 4 (C),Slim Tube 5 (C),Room Temp. (C), Box Temp (C),Excitation Voltage (VDC),Inlet Pressure (VDC),Outlet Pressure (VDC)Top Confining Temp (VDC)
07/06/2022 15:06:43.9109,1051.541253,964.279453,-9999.000000,9.318491,6.968708,0.000000,0.000000,0.000000,0.000000,1.855929,1.389872,0.000000
07/06/2022 15:11:43.9136,1735.853922,1695.541320,-9999.000000,9.055013,6.778115,0.000000,0.000000,0.000000,0.000000,2.402876,1.681419,0.000000
07/06/2022 15:16:43.9143,1737.042775,1694.477160,-9999.000000,8.655328,6.821580,0.000000,0.000000,0.000000,0.000000,2.403826,1.680995,0.003333
07/06/2022 15:21:43.9181,1737.732320,1698.697693,-9999.000000,8.320382,6.818169,0.000000,0.000000,0.000000,0.000000,2.404377,1.682677,0.026667
07/06/2022 15:26:43.9189,1736.970432,1697.451504,-9999.000000,8.272475,6.761105,0.000000,0.000000,0.000000,0.000000,2.403768,1.682180,0.030000
07/06/2022 15:31:43.9189,1736.011932,1696.324982,-9999.000000,8.267925,6.741964,0.000000,0.000000,0.000000,0.000000,2.403002,1.681731,0.016667
07/06/2022 15:36:43.9210,1735.133664,1695.226231,-9999.000000,8.246315,6.750178,0.000000,0.000000,0.000000,0.000000,2.402300,1.681293,0.016667
07/06/2022 15:41:43.9234,1734.519939,1694.484909,-9999.000000,8.210742,6.722585,0.000000,0.000000,0.000000,0.000000,2.401809,1.680998,0.020000
07/06/2022 15:46:43.9257,1734.058059,1693.533741,-9999.000000,8.195003,6.742166,0.000000,0.000000,0.000000,0.000000,2.401440,1.680618,0.006667
07/06/2022 15:51:43.9255,1733.730590,1693.153236,-9999.000000,8.168432,6.734491,0.000000,0.000000,0.000000,0.000000,2.401178,1.680467,0.050000
07/06/2022 15:56:43.9281,1733.934704,1692.966120,-9999.000000,7.922942,5.909789,0.000000,0.000000,0.000000,0.000000,2.401342,1.680392,0.020000
07/06/2022 16:01:43.9293,1734.253977,1691.938871,-9999.000000,7.346755,5.491032,0.000000,0.000000,0.000000,0.000000,2.401597,1.679983,0.056667
