07/06/2022 14:10:20.5698

Time Stamp,Inlet Pressure (psia),Outlet Pressure (psia),Slim Tube 1 (C),Slim Tube 2 (C),Slim Tube 3 (C),Slim Tube 4 (C),Slim Tube 5 (C),Room Temp. (C), Box Temp (C),Excitation Voltage (VDC),Inlet Pressure (VDC),Outlet Pressure (VDC)Top Confining Temp (VDC)
07/06/2022 14:11:20.6637,293.355948,234.623774,-9999.000000,8.151521,7.099787,0.000000,0.000000,0.000000,0.000000,1.249938,1.098966,33.000000
07/06/2022 14:12:20.6643,522.321836,239.701812,-9999.000000,8.096534,7.032848,0.000000,0.000000,0.000000,0.000000,1.432942,1.100991,33.416667
07/06/2022 14:13:20.6609,546.600466,243.558947,-9999.000000,8.161297,7.139285,0.000000,0.000000,0.000000,0.000000,1.452347,1.102528,35.666667
07/06/2022 14:14:20.6641,486.496335,242.558708,-9999.000000,8.224729,6.979258,0.000000,0.000000,0.000000,0.000000,1.404308,1.102130,37.433333
07/06/2022 14:15:20.6627,434.315421,241.452796,-9999.000000,8.289730,6.838137,0.000000,0.000000,0.000000,0.000000,1.362602,1.101689,38.116667
07/06/2022 14:16:20.6618,392.571400,240.679251,-9999.000000,8.304452,6.845569,0.000000,0.000000,0.000000,0.000000,1.329238,1.101380,39.000000
07/06/2022 14:17:20.6645,360.531791,240.134842,-9999.000000,8.287944,6.808677,0.000000,0.000000,0.000000,0.000000,1.303629,1.101163,39.000000
07/06/2022 14:18:20.6640,336.908621,239.408490,-9999.000000,8.294223,6.838027,0.000000,0.000000,0.000000,0.000000,1.284748,1.100874,39.216667
07/06/2022 14:19:20.6636,320.796829,238.653433,-9999.000000,8.300586,6.849302,0.000000,0.000000,0.000000,0.000000,1.271871,1.100573,40.000000
07/06/2022 14:20:20.6644,310.722590,237.981051,-9999.000000,8.243055,6.788518,0.000000,0.000000,0.000000,0.000000,1.263819,1.100305,40.000000
07/06/2022 14:21:20.6656,304.908375,237.124383,-9999.000000,8.253323,6.792378,0.000000,0.000000,0.000000,0.000000,1.259172,1.099963,40.000000
07/06/2022 14:22:20.6667,301.867295,236.725613,-9999.000000,8.209538,6.761254,0.000000,0.000000,0.000000,0.000000,1.256741,1.099804,40.000000
07/06/2022 14:23:20.6655,300.406693,236.495979,-9999.000000,8.253301,6.802068,0.000000,0.000000,0.000000,0.000000,1.255574,1.099713,40.000000
07/06/2022 14:24:20.6662,299.659235,236.335564,-9999.000000,8.281066,6.760024,0.000000,0.000000,0.000000,0.000000,1.254976,1.099649,40.000000
07/06/2022 14:25:20.6669,299.359955,236.470240,-9999.000000,8.261766,6.778641,0.000000,0.000000,0.000000,0.000000,1.254737,1.099702,40.000000
07/06/2022 14:26:20.6666,299.354934,236.394418,-9999.000000,8.240559,6.754556,0.000000,0.000000,0.000000,0.000000,1.254733,1.099672,40.000000
07/06/2022 14:27:20.6671,299.291658,236.248081,-9999.000000,8.213024,6.753428,0.000000,0.000000,0.000000,0.000000,1.254682,1.099614,40.000000
07/06/2022 14:28:20.6666,299.262884,236.284809,-9999.000000,8.261255,6.743701,0.000000,0.000000,0.000000,0.000000,1.254659,1.099628,40.000000
07/06/2022 14:29:20.6685,299.270603,236.256154,-9999.000000,8.265770,6.789406,0.000000,0.000000,0.000000,0.000000,1.254666,1.099617,40.000000
07/06/2022 14:30:20.6673,299.242016,236.344186,-9999.000000,8.305973,6.790148,0.000000,0.000000,0.000000,0.000000,1.254643,1.099652,40.000000
07/06/2022 14:31:20.6692,299.258161,236.380988,-9999.000000,8.233438,6.785292,0.000000,0.000000,0.000000,0.000000,1.254656,1.099667,40.000000
07/06/2022 14:32:20.6671,299.303391,236.352807,-9999.000000,8.205748,6.744974,0.000000,0.000000,0.000000,0.000000,1.254692,1.099655,40.000000
07/06/2022 14:33:20.6685,299.298369,236.427956,-9999.000000,8.206247,6.764969,0.000000,0.000000,0.000000,0.000000,1.254688,1.099685,40.000000
07/06/2022 14:34:20.6729,299.330436,236.476395,-9999.000000,8.180609,6.757916,0.000000,0.000000,0.000000,0.000000,1.254713,1.099705,40.000000
07/06/2022 14:35:20.6707,299.373801,236.519576,-9999.000000,8.164558,6.828693,0.000000,0.000000,0.000000,0.000000,1.254748,1.099722,40.000000
07/06/2022 14:36:20.6697,299.438768,236.532881,-9999.000000,8.194941,6.789869,0.000000,0.000000,0.000000,0.000000,1.254800,1.099727,40.000000
07/06/2022 14:37:20.6701,299.470338,236.503978,-9999.000000,8.167806,6.777700,0.000000,0.000000,0.000000,0.000000,1.254825,1.099716,40.000000
07/06/2022 14:38:20.6706,299.519569,236.461071,-9999.000000,8.192073,6.798233,0.000000,0.000000,0.000000,0.000000,1.254864,1.099699,40.000000
07/06/2022 14:39:20.6720,299.546080,236.362799,-9999.000000,8.204267,6.749615,0.000000,0.000000,0.000000,0.000000,1.254886,1.099659,40.000000
07/06/2022 14:40:20.6708,299.639124,236.881992,-9999.000000,8.194950,6.755653,0.000000,0.000000,0.000000,0.000000,1.254960,1.099866,40.000000
07/06/2022 14:41:20.6713,299.955481,236.854857,-9999.000000,8.194756,6.749378,0.000000,0.000000,0.000000,0.000000,1.255213,1.099856,40.000000
07/06/2022 14:42:20.6705,300.010455,236.813072,-9999.000000,8.208360,6.741564,0.000000,0.000000,0.000000,0.000000,1.255257,1.099839,40.000000
