,CH4_12,N2_12,CO2_12,CH4_14,N2_14,CO2_14
0,1,0,0,1,0,0
1,1,0,0,0.976465145,0.018827884,0.004706971
2,1,0,0,0.954178017,0.036657586,0.009164397
3,1,0,0,0.93295573,0.053635416,0.013408854
4,1,0,0,0.912662466,0.069870027,0.017467507
5,1,0,0,0.893213539,0.085426749,0.021359713
6,1,0,0,0.874581076,0.100332769,0.025086155
7,1,0,0,0.856713479,0.114626895,0.028659626
8,1,0,0,0.839562172,0.128347987,0.032089841
9,1,0,0,0.82326433,0.141386305,0.035349365
10,1,0,0,0.814043785,0.148762766,0.037193449
11,1,0,0,0.809047468,0.152759833,0.038192699
12,1,0,0,0.807581682,0.153932466,0.038485852
13,1,0,0,0.807012749,0.154387614,0.038599637
14,1,0,0,0.806802152,0.154556092,0.038641756
15,1,0,0,0.80645712,0.154832119,0.038710761
16,1,0,0,0.806300836,0.154957146,0.038742018
17,1,0,0,0.806241096,0.155004939,0.038753966
18,1,0,0,0.806195875,0.155041115,0.03876301
19,1,0,0,0.806194236,0.155042426,0.038763338
20,0.997582606,0.001933915,0.000483479,0.806167075,0.155064155,0.03876877
21,0.946365808,0.042907354,0.010726838,0.806157749,0.155071616,0.038770635
22,0.897231801,0.08221456,0.02055364,0.806134423,0.155090277,0.0387753
23,0.850179584,0.11982316,0.029997256,0.806062438,0.155147866,0.038789697
24,0.806027098,0.15514619,0.038826712,0.805985859,0.155209129,0.038805012
25,0.766235564,0.186980617,0.046783819,0.794687338,0.164247976,0.041064686
26,0.731830629,0.214505954,0.053663417,0.793176243,0.165456856,0.041366901
27,0.683878989,0.252821319,0.063299692,0.792712939,0.1658275,0.04145956
28,0.632507333,0.293873514,0.073619153,0.792368914,0.166102721,0.041528364
29,0.583510945,0.333042229,0.083446826,0.792137484,0.166287866,0.04157465
30,0.552584169,0.357791548,0.089624283,0.791986209,0.166408887,0.041604904
31,0.524773163,0.380047455,0.095179382,0.791811097,0.166548976,0.041639926
32,0.499626587,0.400171138,0.100202275,0.791621004,0.166701052,0.041677944
33,0.46688594,0.426367187,0.106746873,0.791364116,0.166906563,0.041729321
34,0.446091648,0.443008146,0.110900206,0.791124162,0.167098526,0.041777311
35,0.427088115,0.458216022,0.114695863,0.790858407,0.167311131,0.041830462
36,0.409617831,0.472196892,0.118185278,0.790358562,0.167711009,0.041930429
37,0.393535073,0.485067372,0.121397556,0.789819896,0.168126304,0.042053801
38,0.348588829,0.52166514,0.129746031,0.789817337,0.16812835,0.042054312
39,0.304821889,0.557287179,0.137890932,0.789744436,0.168186673,0.042068891
40,0.280894533,0.57401049,0.145094977,0.789571402,0.168325104,0.042103494
41,0.257094454,0.590659729,0.152245817,0.78937715,0.16848051,0.04214234
42,0.232350355,0.607893696,0.159755949,0.789131702,0.168676874,0.042191424
43,0.207423324,0.625252427,0.167324249,0.788871944,0.168884686,0.04224337
44,0.185017904,0.641041512,0.173940584,0.788625322,0.169081989,0.042292689
45,0.162058728,0.657168512,0.18077276,0.788472749,0.169204051,0.0423232
46,0.135802514,0.675383392,0.188814093,0.787988598,0.169584224,0.042427178
47,0.12273462,0.684591609,0.192673771,0.787924445,0.169635548,0.042440006
48,0.110439856,0.69336244,0.196197704,0.787924445,0.169635548,0.042440006
49,0.096885718,0.702849036,0.200265245,0.787137508,0.170247037,0.042615456
50,0.083821541,0.712059257,0.204119203,0.786039212,0.171114808,0.04284598
51,0.070937567,0.72116319,0.207899242,0.781465409,0.174774164,0.043760427
52,0.058309224,0.730114146,0.21157663,0.775724941,0.17934785,0.044927209
53,0.052863667,0.734029723,0.21310661,0.771597351,0.182636289,0.04576636
