02/07/2022 13:43:50.5600

Time Stamp,Inlet Pressure (psia),Outlet Pressure (psia),Slim Tube 1 (C),Slim Tube 2 (C),Slim Tube 3 (C),Slim Tube 4 (C),Slim Tube 5 (C),Room Temp. (C), Box Temp (C),Excitation Voltage (VDC),Inlet Pressure (VDC),Outlet Pressure (VDC)Top Confining Temp (VDC)
02/07/2022 13:44:00.6506,1335.264875,1191.125132,-9999.000000,8.951673,7.009809,0.000000,0.000000,0.000000,0.000000,2.082699,1.480313,0.000000
02/07/2022 13:44:10.6500,1335.297807,1191.102706,-9999.000000,8.950466,6.997661,0.000000,0.000000,0.000000,0.000000,2.082725,1.480304,0.000000
02/07/2022 13:44:20.6514,1335.072741,1171.472282,-9999.000000,8.938158,6.996235,0.000000,0.000000,0.000000,0.000000,2.082545,1.472478,0.000000
02/07/2022 13:44:30.6514,1268.833656,883.968473,-9999.000000,8.918275,6.964428,0.000000,0.000000,0.000000,0.000000,2.029603,1.357853,0.000000
02/07/2022 13:44:40.6503,1154.067480,998.471559,-9999.000000,8.908499,6.917663,0.000000,0.000000,0.000000,0.000000,1.937874,1.403504,0.000000
02/07/2022 13:44:50.6509,1150.370978,1001.515406,-9999.000000,8.925163,6.907416,0.000000,0.000000,0.000000,0.000000,1.934920,1.404718,0.000000
02/07/2022 13:45:00.6529,1150.358673,1002.181435,-9999.000000,8.936879,6.863023,0.000000,0.000000,0.000000,0.000000,1.934910,1.404983,0.000000
02/07/2022 13:45:10.6521,1150.401926,1003.069622,-9999.000000,8.936808,6.830469,0.000000,0.000000,0.000000,0.000000,1.934945,1.405338,0.000000
02/07/2022 13:45:20.6510,1150.431607,1003.829388,-9999.000000,8.930299,6.840742,0.000000,0.000000,0.000000,0.000000,1.934968,1.405640,0.000000
02/07/2022 13:45:30.6513,1150.445702,1003.611565,-9999.000000,8.926441,6.785664,0.000000,0.000000,0.000000,0.000000,1.934980,1.405554,0.000000
02/07/2022 13:45:40.6506,1150.528032,1003.670169,-9999.000000,8.928642,6.744519,0.000000,0.000000,0.000000,0.000000,1.935045,1.405577,0.000000
02/07/2022 13:45:50.6513,1150.589481,1003.115669,-9999.000000,8.919292,6.767613,0.000000,0.000000,0.000000,0.000000,1.935094,1.405356,0.000000
02/07/2022 13:46:00.6512,1150.624233,1003.318692,-9999.000000,8.908830,6.772275,0.000000,0.000000,0.000000,0.000000,1.935122,1.405437,0.000000
02/07/2022 13:46:10.6510,1150.627663,1003.336034,-9999.000000,8.948775,6.785853,0.000000,0.000000,0.000000,0.000000,1.935125,1.405444,0.000000
02/07/2022 13:46:20.6512,1150.619087,1002.990088,-9999.000000,8.962734,6.817740,0.000000,0.000000,0.000000,0.000000,1.935118,1.405306,0.000000
02/07/2022 13:46:30.6516,1150.704549,1002.606916,-9999.000000,8.934539,6.791737,0.000000,0.000000,0.000000,0.000000,1.935186,1.405153,0.000000
02/07/2022 13:46:40.6505,1150.719017,1002.975586,-9999.000000,8.936007,6.797206,0.000000,0.000000,0.000000,0.000000,1.935198,1.405300,0.000000
02/07/2022 13:46:50.6523,1150.750189,1002.529325,-9999.000000,8.931917,6.827321,0.000000,0.000000,0.000000,0.000000,1.935223,1.405122,0.000000
02/07/2022 13:47:00.6514,1150.764656,1003.229888,-9999.000000,8.896592,6.796533,0.000000,0.000000,0.000000,0.000000,1.935234,1.405401,0.000000
02/07/2022 13:47:10.6513,1150.843556,1003.738193,-9999.000000,8.899740,6.765734,0.000000,0.000000,0.000000,0.000000,1.935298,1.405604,0.000000
02/07/2022 13:47:20.6516,1150.942665,1004.474636,-9999.000000,8.885206,6.781289,0.000000,0.000000,0.000000,0.000000,1.935377,1.405898,0.000000
02/07/2022 13:47:30.6507,1150.976597,1004.686330,-9999.000000,8.870244,6.762404,0.000000,0.000000,0.000000,0.000000,1.935404,1.405982,0.000000
02/07/2022 13:47:40.6511,1151.003742,1004.711446,-9999.000000,8.866244,6.734981,0.000000,0.000000,0.000000,0.000000,1.935426,1.405992,0.000000
02/07/2022 13:47:50.6508,1151.104119,1004.445483,-9999.000000,8.853839,6.761358,0.000000,0.000000,0.000000,0.000000,1.935506,1.405886,0.000000
02/07/2022 13:48:00.6523,1151.088011,1004.298823,-9999.000000,8.847802,6.734243,0.000000,0.000000,0.000000,0.000000,1.935493,1.405828,0.000000
02/07/2022 13:48:10.6512,1151.126640,1004.465218,-9999.000000,8.852773,6.713811,0.000000,0.000000,0.000000,0.000000,1.935524,1.405894,0.000000
