27:13.5,,,,,,,,,,,,
,,,,,,,,,,,,
Time Stamp,Inlet Pressure (psia),Outlet Pressure (psia),Slim Tube 1 (C),Slim Tube 2 (C),Slim Tube 3 (C),Slim Tube 4 (C),Slim Tube 5 (C),Room Temp. (C), Box Temp (C),Excitation Voltage (VDC),Inlet Pressure (VDC),Outlet Pressure (VDC)Top Confining Temp (VDC)
30:13.6,1136.354279,1086.973087,-9999,6.745245,5.834331,0,0,0,0,1.923717,1.438789,0
33:13.6,1136.161417,1051.250586,-9999,6.759756,5.940237,0,0,0,0,1.923563,1.424547,0
36:13.6,1135.797962,1004.965864,-9999,6.775869,5.799947,0,0,0,0,1.923272,1.406094,0
39:13.6,1135.641161,1004.214961,-9999,6.670475,5.710278,0,0,0,0,1.923147,1.405794,0
42:13.6,1136.013722,1002.785603,-9999,6.590378,5.691757,0,0,0,0,1.923445,1.405224,0
45:13.6,1136.521789,1005.050731,-9999,6.608714,5.834166,0,0,0,0,1.923851,1.406127,0
48:13.6,1128.84541,965.45264,-9999,6.549196,5.820192,0,0,0,0,1.917715,1.39034,0
51:13.6,1143.42322,941.986866,-9999,6.623655,5.706092,0,0,0,0,1.929367,1.380984,0
54:13.6,1157.630461,982.81988,-9999,6.649011,5.687977,0,0,0,0,1.940722,1.397264,0
57:13.6,1155.117686,992.754851,-9999,6.653113,5.53807,0,0,0,0,1.938714,1.401225,0
00:13.6,1153.418277,994.673103,-9999,6.621374,5.518205,0,0,0,0,1.937355,1.40199,0
03:13.6,1152.653873,996.42354,-9999,6.593199,5.547495,0,0,0,0,1.936744,1.402688,0
06:13.6,1152.244125,997.185108,-9999,6.610482,5.56883,0,0,0,0,1.936417,1.402991,0
09:13.6,1151.837835,998.204757,-9999,6.620041,5.53818,0,0,0,0,1.936092,1.403398,0
12:13.6,1151.453616,999.054448,-9999,6.576443,5.547513,0,0,0,0,1.935785,1.403737,0
15:13.6,1151.408034,999.452421,-9999,6.541985,5.587275,0,0,0,0,1.935749,1.403895,0
18:13.6,1151.453131,1001.331985,-9999,6.494161,5.494707,0,0,0,0,1.935785,1.404645,0
21:13.6,1151.568775,1001.685846,-9999,6.476057,5.455051,0,0,0,0,1.935877,1.404786,0
24:13.6,1151.603933,1002.002748,-9999,6.435272,5.501051,0,0,0,0,1.935905,1.404912,0
27:13.6,1151.64574,1002.366808,-9999,6.43272,5.51545,0,0,0,0,1.935939,1.405057,0
30:13.6,1151.724453,1004.349877,-9999,6.445281,5.54357,0,0,0,0,1.936002,1.405848,0
33:13.6,1151.781163,1005.070441,-9999,6.428544,5.537136,0,0,0,0,1.936047,1.406135,0
36:13.6,1151.717157,1004.811886,-9999,6.417323,5.564079,0,0,0,0,1.935996,1.406032,0
39:13.6,1151.602512,1005.211329,-9999,6.437488,5.578504,0,0,0,0,1.935904,1.406191,0
42:13.6,1151.490024,1005.609418,-9999,6.457351,5.551088,0,0,0,0,1.935814,1.40635,0
45:13.6,1151.331608,1005.737383,-9999,6.409308,5.525273,0,0,0,0,1.935688,1.406401,0
48:13.6,1151.220654,1006.378046,-9999,6.43352,5.529435,0,0,0,0,1.935599,1.406657,0
51:13.6,1151.229354,1006.90562,-9999,6.430083,5.532056,0,0,0,0,1.935606,1.406867,0
54:13.6,1151.318139,1006.727256,-9999,6.453763,5.519376,0,0,0,0,1.935677,1.406796,0
57:13.6,1151.67576,1007.705244,-9999,6.585352,6.092729,0,0,0,0,1.935963,1.407186,0
00:13.6,1152.043557,1008.678423,-9999,7.048181,6.170418,0,0,0,0,1.936257,1.407574,0
03:13.6,1150.34554,1007.906631,-9999,6.961729,5.283749,0,0,0,0,1.9349,1.407266,0
06:13.6,1149.36149,1007.596831,-9999,6.843631,5.416581,0,0,0,0,1.934113,1.407142,0
09:13.6,1149.02293,1007.557744,-9999,6.740433,5.476637,0,0,0,0,1.933842,1.407127,0
12:13.6,1149.159605,1007.544073,-9999,6.656689,5.510107,0,0,0,0,1.933952,1.407121,0
15:13.6,1149.374582,1007.726847,-9999,6.567708,5.497487,0,0,0,0,1.934123,1.407194,0
18:13.6,1149.614106,1008.156182,-9999,6.538638,5.553816,0,0,0,0,1.934315,1.407365,0
21:13.6,1149.905936,1008.761239,-9999,6.531988,5.526306,0,0,0,0,1.934548,1.407607,0
24:13.6,1150.015292,1009.24892,-9999,6.471264,5.522557,0,0,0,0,1.934636,1.407801,0
27:13.6,1149.918299,1009.441511,-9999,6.456323,5.53962,0,0,0,0,1.934558,1.407878,0
30:13.6,1149.86913,1009.678612,-9999,6.438712,5.528392,0,0,0,0,1.934519,1.407972,0
33:13.6,1149.942163,1009.909559,-9999,6.432911,5.547571,0,0,0,0,1.934577,1.408065,0
36:13.6,1149.859854,1010.104691,-9999,6.411793,5.535832,0,0,0,0,1.934511,1.408142,0
39:13.6,1149.934254,1010.571924,-9999,6.424607,5.543216,0,0,0,0,1.934571,1.408329,0
42:13.6,1150.1102,1010.693461,-9999,6.440665,5.520795,0,0,0,0,1.934711,1.408377,0
45:13.6,1150.221465,1010.657755,-9999,6.459363,5.601769,0,0,0,0,1.9348,1.408363,0
48:13.6,1150.052599,1010.919615,-9999,6.473874,5.553205,0,0,0,0,1.934665,1.408467,0
51:13.6,1149.847077,1010.898277,-9999,6.479655,5.57221,0,0,0,0,1.934501,1.408459,0
54:13.6,1149.721651,1010.854706,-9999,6.468042,5.591748,0,0,0,0,1.934401,1.408441,0
57:13.6,1149.649716,1011.140187,-9999,6.480705,5.596671,0,0,0,0,1.934343,1.408555,0
00:13.6,1149.53594,1011.145486,-9999,6.522691,5.521829,0,0,0,0,1.934252,1.408557,0
03:13.6,1149.34556,1011.244381,-9999,6.496441,5.50119,0,0,0,0,1.9341,1.408597,0
06:13.6,1149.28044,1011.322031,-9999,6.475627,5.54979,0,0,0,0,1.934048,1.408628,0
09:13.6,1149.345804,1011.347031,-9999,6.462199,5.550863,0,0,0,0,1.9341,1.408638,0
12:13.6,1149.316915,1011.42071,-9999,6.46852,5.543797,0,0,0,0,1.934077,1.408667,0
15:13.6,1149.204884,1011.265652,-9999,6.450357,5.555368,0,0,0,0,1.933988,1.408605,0
18:13.6,1149.259547,1011.267504,-9999,6.454394,5.504148,0,0,0,0,1.934032,1.408606,0
21:13.6,1149.198789,1011.44429,-9999,6.481973,5.554024,0,0,0,0,1.933983,1.408676,0
24:13.6,1149.097865,1011.434016,-9999,6.482585,5.539046,0,0,0,0,1.933902,1.408672,0
27:13.6,1149.073111,1011.653633,-9999,6.464436,5.570108,0,0,0,0,1.933882,1.40876,0
30:13.6,1148.938574,1011.700427,-9999,6.473696,5.544357,0,0,0,0,1.933775,1.408779,0
33:13.6,1148.9166,1012.18433,-9999,6.508109,5.551697,0,0,0,0,1.933757,1.408971,0
36:13.6,1148.884023,1012.079421,-9999,6.486822,5.528624,0,0,0,0,1.933731,1.40893,0
39:13.6,1148.908703,1012.105733,-9999,6.487745,5.552687,0,0,0,0,1.933751,1.40894,0
42:13.7,1148.942291,1012.108516,-9999,6.504602,5.5384,0,0,0,0,1.933778,1.408941,0
45:13.7,1148.853995,1012.012644,-9999,6.553993,5.583622,0,0,0,0,1.933707,1.408903,0
48:13.7,1148.841814,1011.983973,-9999,6.553261,5.572361,0,0,0,0,1.933698,1.408892,0
51:13.7,1148.797977,1012.216937,-9999,6.509898,5.617144,0,0,0,0,1.933663,1.408984,0
54:13.7,1148.812892,1012.149147,-9999,6.475244,5.550282,0,0,0,0,1.933675,1.408957,0
57:13.7,1148.940654,1012.369479,-9999,6.48687,5.513507,0,0,0,0,1.933777,1.409045,0
00:13.7,1148.857823,1012.49437,-9999,6.459834,5.525764,0,0,0,0,1.93371,1.409095,0
03:13.7,1148.538611,1012.302668,-9999,6.456076,5.570495,0,0,0,0,1.933455,1.409019,0
06:13.7,1148.554425,1012.360143,-9999,6.471429,5.543927,0,0,0,0,1.933468,1.409042,0
09:13.7,1148.455623,1012.45648,-9999,6.481104,5.517189,0,0,0,0,1.933389,1.40908,0
12:13.7,1148.339092,1012.332469,-9999,6.46276,5.518916,0,0,0,0,1.933296,1.409031,0
15:13.7,1148.28343,1012.371323,-9999,6.445846,5.584436,0,0,0,0,1.933251,1.409046,0
18:13.7,1148.342274,1012.754885,-9999,6.466917,5.557289,0,0,0,0,1.933298,1.409199,0
21:13.7,1148.27572,1012.710192,-9999,6.482646,5.56924,0,0,0,0,1.933245,1.409181,0
24:13.7,1148.241735,1012.738747,-9999,6.479088,5.527837,0,0,0,0,1.933218,1.409192,0
27:13.7,1148.119694,1012.571347,-9999,6.518884,5.56759,0,0,0,0,1.93312,1.409126,0
30:13.7,1148.057611,1012.520243,-9999,6.530754,5.621152,0,0,0,0,1.933071,1.409105,0
33:13.7,1148.012982,1012.642676,-9999,6.499687,5.483735,0,0,0,0,1.933035,1.409154,0
36:13.7,1147.810882,1012.501223,-9999,6.493748,5.542301,0,0,0,0,1.932874,1.409098,0
39:13.7,1147.754806,1012.552402,-9999,6.521375,5.571324,0,0,0,0,1.932829,1.409118,0
