21:04.4,,,,,,,,,,,,
,,,,,,,,,,,,
Time Stamp,Inlet Pressure (psia),Outlet Pressure (psia),Slim Tube 1 (C),Slim Tube 2 (C),Slim Tube 3 (C),Slim Tube 4 (C),Slim Tube 5 (C),Room Temp. (C), Box Temp (C),Excitation Voltage (VDC),Inlet Pressure (VDC),Outlet Pressure (VDC)Top Confining Temp (VDC)
22:04.5,1478.349826,1174.614775,-9999,9.478848,7.213116,0,0,0,0,2.197062,1.473731,0
23:04.5,1505.194709,1183.99292,-9999,9.481425,7.151615,0,0,0,0,2.218518,1.47747,0
24:04.5,1509.548589,1182.883845,-9999,9.478103,7.006637,0,0,0,0,2.221998,1.477028,0
25:04.5,1507.985948,1198.787599,-9999,9.480416,6.897994,0,0,0,0,2.220749,1.483368,0
26:04.5,1510.019009,1198.828762,-9999,9.4962,6.807851,0,0,0,0,2.222374,1.483385,0
27:04.5,1512.372004,1187.69131,-9999,9.578468,6.954872,0,0,0,0,2.224254,1.478944,0
28:04.5,1511.290437,1203.736891,-9999,9.597983,6.899698,0,0,0,0,2.22339,1.485341,0
29:04.6,1510.498746,1212.282887,-9999,9.590087,6.880232,0,0,0,0,2.222757,1.488749,0
30:04.5,1510.137871,1211.016037,-9999,9.56966,6.82917,0,0,0,0,2.222469,1.488244,0
31:04.5,1509.55811,1213.04188,-9999,9.640279,6.907216,0,0,0,0,2.222005,1.489051,0
32:04.5,1508.434194,1218.722633,-9999,9.686149,6.922836,0,0,0,0,2.221107,1.491316,0
33:04.5,1508.165916,1238.630158,-9999,9.715634,6.892962,0,0,0,0,2.220893,1.499253,0
34:04.5,1507.430374,1227.385962,-9999,9.730977,6.888424,0,0,0,0,2.220305,1.49477,0
35:04.5,1505.719613,1225.785127,-9999,9.724997,6.841226,0,0,0,0,2.218937,1.494132,0
36:04.5,1503.274016,1211.772938,-9999,9.70549,6.849626,0,0,0,0,2.216983,1.488545,0
37:04.5,1500.133625,1204.485719,-9999,9.719629,6.856946,0,0,0,0,2.214473,1.48564,0
38:04.5,1496.792982,1200.955643,-9999,9.727694,6.857786,0,0,0,0,2.211803,1.484233,0
39:04.5,1493.421171,1191.195397,-9999,9.708834,6.861313,0,0,0,0,2.209108,1.480341,0
40:04.5,1489.952037,1182.846046,-9999,9.704348,6.833895,0,0,0,0,2.206335,1.477013,0
41:04.5,1486.46563,1166.975605,-9999,9.703127,6.81632,0,0,0,0,2.203548,1.470685,0
42:04.5,1483.099995,1174.231429,-9999,9.71039,6.913172,0,0,0,0,2.200858,1.473578,0
43:04.5,1479.764104,1170.413538,-9999,9.728044,6.850259,0,0,0,0,2.198192,1.472056,0
44:04.5,1476.371219,1165.620325,-9999,9.715112,6.830197,0,0,0,0,2.19548,1.470145,0
45:04.5,1473.202027,1162.909467,-9999,9.708397,6.875877,0,0,0,0,2.192947,1.469064,0
46:04.5,1470.21171,1161.468199,-9999,9.656929,6.85428,0,0,0,0,2.190557,1.468489,0
47:04.5,1467.253951,1160.657105,-9999,9.614178,6.78961,0,0,0,0,2.188193,1.468166,0
48:04.5,1464.57964,1160.69914,-9999,9.610566,6.795623,0,0,0,0,2.186056,1.468183,0
49:04.5,1461.853942,1161.03629,-9999,9.616412,6.818699,0,0,0,0,2.183877,1.468317,0
50:04.5,1459.409737,1162.341163,-9999,9.606202,6.826264,0,0,0,0,2.181924,1.468837,0
51:04.5,1457.089311,1154.60372,-9999,9.605028,6.857528,0,0,0,0,2.180069,1.465753,0
52:04.5,1455.105846,1141.165916,-9999,9.615545,6.867701,0,0,0,0,2.178484,1.460395,0
53:04.5,1452.972438,1141.387576,-9999,9.60012,6.926767,0,0,0,0,2.176778,1.460483,0
54:04.5,1450.965587,1133.126107,-9999,9.616049,6.885606,0,0,0,0,2.175174,1.45719,0
55:04.5,1449.394852,1142.718861,-9999,9.680219,6.967777,0,0,0,0,2.173919,1.461014,0
56:04.5,1448.717568,1144.55095,-9999,9.736449,7.175302,0,0,0,0,2.173378,1.461745,0
57:04.5,1448.02337,1135.736649,-9999,9.850374,7.503927,0,0,0,0,2.172823,1.45823,0
58:04.5,1447.191821,1123.837164,-9999,9.989411,7.681107,0,0,0,0,2.172158,1.453486,0
