"Time","MFC IN Counter value ls","MFC IN Measure sccm","MFC IN Setpoint sccm","Meter Out Counter value ls","Meter Out Measure ls/min"
﻿"2021-12-06 14:16:56.747",0,0,0,0,0
﻿"2021-12-06 14:17:56.737",0.09121808,142.7978,150,0,0
﻿"2021-12-06 14:18:56.740",0.2690371,118.6457,150,0,0
﻿"2021-12-06 14:19:56.744",0.4802275,160.2844,150,0,0
﻿"2021-12-06 14:20:56.748",0.6381487,108.0555,150,0,0
﻿"2021-12-06 14:21:56.736",0.645168,28.97822,150,0,0
﻿"2021-12-06 14:22:56.740",0.7335951,147.0749,150,0,0
﻿"2021-12-06 14:23:56.744",0.893845,150.6662,150,0,0
﻿"2021-12-06 14:24:56.735",1.05473,149.4088,150,6.127333e-05,0
﻿"2021-12-06 14:25:56.736",1.215568,149.5788,150,0.001214667,0
﻿"2021-12-06 14:26:56.741",1.37644,149.4012,150,0.003139293,0
﻿"2021-12-06 14:27:56.745",1.537169,148.7569,150,0.08332849,0.1602675
﻿"2021-12-06 14:28:56.733",1.697822,147.9193,150,0.2086294,0.1416712
﻿"2021-12-06 14:29:56.723",1.858586,150.241,150,0.332784,0
﻿"2021-12-06 14:30:56.724",2.019478,149.8885,150,0.4425108,0.1377816
﻿"2021-12-06 14:31:56.728",2.180376,148.8438,150,0.538396,0.1527913
﻿"2021-12-06 14:32:56.720",2.341244,149.8573,150,0.640834,0
﻿"2021-12-06 14:33:56.721",2.502348,150.7552,150,0.756422,0
﻿"2021-12-06 14:34:56.726",2.663226,150.7724,150,0.8678058,0.1567399
﻿"2021-12-06 14:35:56.729",2.824031,151.401,150,0.9795526,0.05870898
﻿"2021-12-06 14:36:56.720",2.98511,148.1098,150,1.088285,0.1326802
﻿"2021-12-06 14:37:56.721",3.145991,148.2693,150,1.194951,0.1326357
﻿"2021-12-06 14:38:56.724",3.306741,152.0669,150,1.298349,0
﻿"2021-12-06 14:39:56.729",3.467991,147.6297,150,1.412104,0.1371328
﻿"2021-12-06 14:40:56.718",3.628972,150.1001,150,1.519333,0.1327475
﻿"2021-12-06 14:41:56.720",3.789697,149.4731,150,1.628216,0.1372817
