Time	MFC IN Counter value ls	MFC IN Measure sccm	MFC IN Setpoint sccm	Meter Out Counter value ls	Meter Out Measure ls/min
"?""2022-01-24 13:16:56.747"""	0	0	0	0.00026514	0
"?""2022-01-24 13:17:56.748"""	0.03691509	49.22041	50	0.00026514	0
"?""2022-01-24 13:18:56.749"""	0.09024022	49.46078	50	0.00026514	0
"?""2022-01-24 13:19:56.753"""	0.1436403	49.40916	50	0.00026514	0
"?""2022-01-24 13:20:56.745"""	0.1714795	0	0	0.00026514	0
"?""2022-01-24 13:21:56.731"""	0.2563726	47.84412	50	0.00026514	0
"?""2022-01-24 13:22:56.717"""	0.3090222	48.4613	50	0.00026514	0
"?""2022-01-24 13:23:56.708"""	0.3618112	48.44321	50	0.00026514	0
"?""2022-01-24 13:24:56.708"""	0.4155742	51.27497	50	0.00026514	0
"?""2022-01-24 13:25:56.712"""	0.4662824	45.29237	50	0.00026514	0
"?""2022-01-24 13:26:56.704"""	0.5150915	46.93043	50	0.00026514	0
"?""2022-01-24 13:27:56.704"""	0.5680452	49.75896	50	0.00026514	0
"?""2022-01-24 13:28:56.708"""	0.6225264	53.42504	50	0.00026514	0
"?""2022-01-24 13:29:56.699"""	0.6759506	50.41826	50	0.00026514	0
"?""2022-01-24 13:30:56.699"""	0.731616	51.1877	50	0.00026514	0
"?""2022-01-24 13:31:56.704"""	0.7876937	51.07434	50	0.00026514	0
"?""2022-01-24 13:32:56.696"""	0.8400123	49.87819	50	0.00026514	0
"?""2022-01-24 13:33:56.696"""	0.8939571	52.19052	50	0.00026514	0
"?""2022-01-24 13:34:56.700"""	0.9503848	50.098	50	0.00026514	0
"?""2022-01-24 13:35:56.704"""	1.004913	51.57761	50	0.00026514	0
"?""2022-01-24 13:36:56.692"""	1.058951	50.05533	50	0.00026514	0
"?""2022-01-24 13:37:56.695"""	1.112614	50.00602	50	0.00026514	0
"?""2022-01-24 13:38:56.700"""	1.166461	51.0659	50	0.00026514	0
"?""2022-01-24 13:39:56.691"""	1.219925	50.38496	50	0.00026514	0
"?""2022-01-24 13:40:56.692"""	1.273313	49.45641	50	0.00026514	0
"?""2022-01-24 13:41:56.697"""	1.326628	49.32378	50	0.00026514	0
"?""2022-01-24 13:42:56.685"""	1.380099	48.96125	50	0.00026514	0
"?""2022-01-24 13:43:56.688"""	1.433538	49.14492	50	0.00026514	0
"?""2022-01-24 13:44:56.680"""	1.487001	49.94191	50	0.00026514	0
"?""2022-01-24 13:45:56.680"""	1.54042	50.24616	50	0.00026514	0
"?""2022-01-24 13:46:56.684"""	1.593917	50.49278	50	0.00026514	0
"?""2022-01-24 13:47:56.688"""	1.647624	49.04654	50	0.00026514	0
"?""2022-01-24 13:48:56.675"""	1.701071	50.61382	50	0.00026514	0
"?""2022-01-24 13:49:56.680"""	1.754656	49.14703	50	0.00026514	0
"?""2022-01-24 13:50:56.685"""	1.808129	49.76497	50	0.00026514	0
"?""2022-01-24 13:51:56.673"""	1.861668	49.08767	50	0.00026514	0
"?""2022-01-24 13:52:56.676"""	1.915145	50.29435	50	0.08621048	0
"?""2022-01-24 13:53:56.680"""	1.96864	49.15061	50	0.08621048	0
"?""2022-01-24 13:54:56.670"""	2.022207	49.46947	50	0.08621048	0
"?""2022-01-24 13:55:56.672"""	2.075831	49.86339	50	0.08621048	0
"?""2022-01-24 13:56:56.660"""	2.129261	49.52851	50	0.08621048	0
"?""2022-01-24 13:57:56.664"""	2.182988	49.68559	50	0.08621048	0
"?""2022-01-24 13:58:56.668"""	2.236315	50.03535	50	0.08621048	0
"?""2022-01-24 13:59:56.659"""	2.290127	49.88058	50	0.08621048	0
"?""2022-01-24 14:00:56.660"""	2.343783	48.73382	50	0.08621048	0
"?""2022-01-24 14:01:56.665"""	2.397191	49.58213	50	0.08621048	0
"?""2022-01-24 14:02:56.654"""	2.450664	49.95589	50	0.08621048	0
"?""2022-01-24 14:03:56.656"""	2.504321	49.702	50	0.08621048	0
"?""2022-01-24 14:04:56.660"""	2.557775	49.05465	50	0.08621048	0
"?""2022-01-24 14:05:56.648"""	2.611326	51.32188	50	0.08621048	0
"?""2022-01-24 14:06:56.653"""	2.664919	49.88037	50	0.08621048	0
"?""2022-01-24 14:07:56.656"""	2.718517	49.9824	50	0.08621048	0
"?""2022-01-24 14:08:56.649"""	2.772217	48.89526	50	0.08621048	0
"?""2022-01-24 14:09:56.648"""	2.825787	49.73096	50	0.08621048	0
"?""2022-01-24 14:10:56.653"""	2.901114	75.35685	75	0.08621048	0
"?""2022-01-24 14:11:56.643"""	2.981456	73.44181	75	0.08726998	0
"?""2022-01-24 14:12:56.646"""	3.062188	74.20598	75	0.08726998	0
"?""2022-01-24 14:13:56.648"""	3.142382	75.18602	75	0.08726998	0
"?""2022-01-24 14:14:56.639"""	3.220673	68.83538	75	0.08726998	0
"?""2022-01-24 14:15:56.640"""	3.283519	57.54971	75	0.08726998	0
"?""2022-01-24 14:16:56.645"""	3.341463	54.10308	75	0.08726998	0
"?""2022-01-24 14:17:56.636"""	3.399796	55.63034	75	0.08726998	0
"?""2022-01-24 14:18:56.637"""	3.4472	43.85137	75	0.08726998	0
"?""2022-01-24 14:19:56.640"""	3.502899	54.41567	75	0.08739864	0
"?""2022-01-24 14:20:56.645"""	3.564305	57.63675	75	0.09112877	0
"?""2022-01-24 14:21:56.634"""	3.626227	56.82965	75	0.09523726	0
