Time	Meter Out Counter value ls	Meter Out Measure ls/min
"?""2022-02-07 13:44:06.761"""	0	0
"?""2022-02-07 13:44:16.700"""	0	0
"?""2022-02-07 13:44:26.698"""	0.03977277	0.26214
"?""2022-02-07 13:44:36.699"""	0.04513808	0
"?""2022-02-07 13:44:46.700"""	0.04513808	0
"?""2022-02-07 13:44:56.698"""	0.04513808	0
"?""2022-02-07 13:45:06.698"""	0.04513808	0
"?""2022-02-07 13:45:16.699"""	0.04513808	0
"?""2022-02-07 13:45:26.698"""	0.04513808	0
"?""2022-02-07 13:45:36.699"""	0.04513808	0
"?""2022-02-07 13:45:46.699"""	0.04513808	0
"?""2022-02-07 13:45:56.696"""	0.04513808	0
"?""2022-02-07 13:46:06.698"""	0.04513808	0
"?""2022-02-07 13:46:16.696"""	0.04513808	0
"?""2022-02-07 13:46:26.697"""	0.04513808	0
"?""2022-02-07 13:46:36.696"""	0.04513808	0
"?""2022-02-07 13:46:46.695"""	0.04513808	0
"?""2022-02-07 13:46:56.694"""	0.04513808	0
"?""2022-02-07 13:47:06.695"""	0.04513808	0
"?""2022-02-07 13:47:16.696"""	0.04513808	0
"?""2022-02-07 13:47:26.696"""	0.04513808	0
"?""2022-02-07 13:47:36.696"""	0.04513808	0
"?""2022-02-07 13:47:46.696"""	0.04513808	0
"?""2022-02-07 13:47:56.696"""	0.04513808	0
"?""2022-02-07 13:48:06.696"""	0.04513808	0
"?""2022-02-07 13:48:16.696"""	0.04513808	0
"?""2022-02-07 13:48:26.695"""	0.04513808	0
"?""2022-02-07 13:48:36.695"""	0.04513808	0
"?""2022-02-07 13:48:46.695"""	0.04513808	0
"?""2022-02-07 13:48:56.697"""	0.04513808	0
"?""2022-02-07 13:49:06.696"""	0.04513808	0
"?""2022-02-07 13:49:16.696"""	0.04513808	0
"?""2022-02-07 13:49:26.695"""	0.04513808	0
"?""2022-02-07 13:49:36.696"""	0.04513808	0
"?""2022-02-07 13:49:46.693"""	0.04513808	0
"?""2022-02-07 13:49:56.693"""	0.04513808	0
"?""2022-02-07 13:50:06.693"""	0.04928906	0
"?""2022-02-07 13:50:16.695"""	0.05197419	0
"?""2022-02-07 13:50:26.694"""	0.0604664	0
"?""2022-02-07 13:50:36.694"""	0.0604664	0
"?""2022-02-07 13:50:46.694"""	0.0604664	0
"?""2022-02-07 13:50:56.694"""	0.0604664	0
"?""2022-02-07 13:51:06.695"""	0.0604664	0
"?""2022-02-07 13:51:16.694"""	0.0604664	0
"?""2022-02-07 13:51:26.694"""	0.0604664	0
"?""2022-02-07 13:51:36.693"""	0.0604664	0
"?""2022-02-07 13:51:46.692"""	0.0604664	0
"?""2022-02-07 13:51:56.693"""	0.0604664	0
"?""2022-02-07 13:52:06.692"""	0.0604664	0
"?""2022-02-07 13:52:16.691"""	0.0604664	0
"?""2022-02-07 13:52:26.688"""	0.0604664	0
"?""2022-02-07 13:52:36.686"""	0.0604664	0
"?""2022-02-07 13:52:46.689"""	0.0604664	0
"?""2022-02-07 13:52:56.686"""	0.0604664	0
"?""2022-02-07 13:53:06.687"""	0.0604664	0
"?""2022-02-07 13:53:16.683"""	0.0604664	0
"?""2022-02-07 13:53:26.683"""	0.0604664	0
"?""2022-02-07 13:53:36.682"""	0.06438365	0
"?""2022-02-07 13:53:46.683"""	0.06752867	0
"?""2022-02-07 13:53:56.682"""	0.07453667	0
"?""2022-02-07 13:54:06.681"""	0.07910402	0
"?""2022-02-07 13:54:16.681"""	0.07910402	0
"?""2022-02-07 13:54:26.681"""	0.07910402	0
"?""2022-02-07 13:54:36.681"""	0.07910402	0
"?""2022-02-07 13:54:46.681"""	0.07910402	0
"?""2022-02-07 13:54:56.680"""	0.07910402	0
