12/06/2021 13:08:48.0011

Time Stamp,Inlet Pressure (psia),Outlet Pressure (psia),Slim Tube 1 (C),Slim Tube 2 (C),Slim Tube 3 (C),Slim Tube 4 (C),Slim Tube 5 (C),Room Temp. (C), Box Temp (C),Excitation Voltage (VDC),Inlet Pressure (VDC),Outlet Pressure (VDC)Top Confining Temp (VDC)
12/06/2021 13:09:18.6302,351.866722,157.999073,-9999.000000,7.937790,7.057169,0.000000,0.000000,0.000000,0.000000,1.296704,1.068417,23.000000
12/06/2021 13:09:48.0924,351.765898,158.717726,-9999.000000,7.975933,7.014779,0.000000,0.000000,0.000000,0.000000,1.296623,1.068703,23.466667
12/06/2021 13:10:18.0922,351.728710,157.610619,-9999.000000,7.972612,6.953036,0.000000,0.000000,0.000000,0.000000,1.296593,1.068262,24.000000
12/06/2021 13:10:48.0930,351.811363,158.481215,-9999.000000,7.949848,6.941173,0.000000,0.000000,0.000000,0.000000,1.296659,1.068609,24.433333
12/06/2021 13:11:18.0928,351.744967,157.504822,-9999.000000,7.926545,6.959914,0.000000,0.000000,0.000000,0.000000,1.296606,1.068220,25.000000
12/06/2021 13:11:48.0935,351.790209,158.059322,-9999.000000,7.920480,6.979297,0.000000,0.000000,0.000000,0.000000,1.296643,1.068441,25.566667
12/06/2021 13:12:18.0943,351.693387,157.863276,-9999.000000,7.915743,7.008433,0.000000,0.000000,0.000000,0.000000,1.296565,1.068362,26.000000
12/06/2021 13:12:48.0931,351.750635,156.804707,-9999.000000,7.875017,6.916048,0.000000,0.000000,0.000000,0.000000,1.296611,1.067940,26.400000
12/06/2021 13:13:18.0939,351.786108,157.914854,-9999.000000,7.901873,6.853753,0.000000,0.000000,0.000000,0.000000,1.296639,1.068383,27.000000
12/06/2021 13:13:48.0937,351.675787,155.661121,-9999.000000,7.873269,6.816481,0.000000,0.000000,0.000000,0.000000,1.296551,1.067484,27.433333
12/06/2021 13:14:18.0944,351.682872,156.690289,-9999.000000,7.828568,6.811297,0.000000,0.000000,0.000000,0.000000,1.296557,1.067895,28.000000
12/06/2021 13:14:48.0942,351.610659,156.860272,-9999.000000,7.800117,6.788403,0.000000,0.000000,0.000000,0.000000,1.296499,1.067963,28.566667
12/06/2021 13:15:18.0950,351.630744,156.537299,-9999.000000,7.810780,6.814239,0.000000,0.000000,0.000000,0.000000,1.296515,1.067834,29.000000
12/06/2021 13:15:48.0948,351.590698,156.743062,-9999.000000,7.816933,6.838439,0.000000,0.000000,0.000000,0.000000,1.296483,1.067916,29.466667
12/06/2021 13:16:18.0945,351.592935,157.488925,-9999.000000,7.770062,6.827602,0.000000,0.000000,0.000000,0.000000,1.296485,1.068213,30.000000
12/06/2021 13:16:48.0943,351.624977,157.662396,-9999.000000,7.820452,6.859657,0.000000,0.000000,0.000000,0.000000,1.296510,1.068282,30.466667
12/06/2021 13:17:18.0951,351.617147,158.147478,-9999.000000,7.824605,6.844892,0.000000,0.000000,0.000000,0.000000,1.296504,1.068476,31.000000
12/06/2021 13:17:48.0949,351.658188,158.504587,-9999.000000,7.791820,6.798914,0.000000,0.000000,0.000000,0.000000,1.296537,1.068618,31.466667
