Time Stamp,time,P up,P down,T,,,Water in,,Water out,Gas in,MFC measure,MFC set,Gas out,Meter measure,Pump Volume,P Pump,Q pump
09:14.4,0,1689.260987,997.101711,6.806463,0,0,0,0,0,0,0,0,0.03795071,0,220.075527,1640.6,0.01
12:14.4,0.05,1657.814749,992.115019,6.856161,0.03,0,0,0,0,0,0,0,0.03795071,0,220.045592,1616.2,0.01
15:14.4,0.100000556,1633.81809,989.011927,6.802078,0.06,0,0,0,0,0,0,0,0.03795071,0,220.015593,1593.4,0.01
18:14.4,0.150000278,1611.260565,989.725854,6.812134,0.09,0,0,0,0,0,0,0,0.03795071,0,219.985532,1572.6,0.01
21:14.4,0.200000833,1593.139631,990.119317,6.802431,0.12,0,0,0,0,0,0,0,0.03795071,0,219.955596,1559.2,0.01
24:14.4,0.250001111,1579.961295,990.733726,6.802967,0.15,0,0,0,0,0,0,0,0.03795071,0,219.925598,1546.4,0.01
27:14.4,0.300001389,1567.103476,990.641708,6.817804,0.18,0,0,0,0,0,0,0,0.03795071,0,219.895599,1533,0.01
30:14.4,0.350001389,1552.927174,990.864398,6.79886,0.21,0,0,0,0,0,0,0,0.03795071,0,219.865411,1518.2,0.01
33:14.4,0.400001667,1537.837251,991.10728,6.778899,0.24,0,0,0,0,0,0,0,0.03795071,0,219.835602,1502.2,0.01
36:14.4,0.450001944,1521.797565,991.798101,6.803896,0.27,0,0,0,0,0,0,0,0.03795071,0,219.805541,1486,0.01
39:14.4,0.5000025,1505.339691,992.190633,6.830532,0.3,0,0,0,0,0,0,0,0.03795071,0,219.775574,1469.6,0.01
42:14.4,0.550002778,1488.592067,992.544935,6.829455,0.33,0,0,0,0,0,0,0,0.03795071,0,219.745544,1452.6,0.01
45:14.4,0.600002778,1471.637759,993.014211,6.808884,0.36,0,0,0,0,0,0,0,0.03795071,0,219.715513,1436.2,0.01
48:14.4,0.650003056,1455.060131,993.43382,6.798757,0.39,0,0,0,0,0,0,0,0.03795071,0,219.685515,1419.4,0.01
51:14.4,0.700003333,1437.947824,993.415207,6.768706,0.42,0,0,0,0,0,0,0,0.03795071,0,219.655612,1402.4,0.01
54:14.4,0.750003611,1421.371209,993.679559,6.789288,0.45,0,0,0,0,0,0,0,0.03795071,0,219.625613,1387,0.01
57:14.4,0.800003611,1406.077794,993.363654,5.616276,0.48,0,0,0,0,0,0,0,0.03795071,0,219.595615,1372,0.01
00:14.4,0.850004167,1391.520736,991.839214,5.659624,0.51,0,0,0,0,0,0,0,0.03795071,0,219.565584,1358.6,0.01
03:14.4,0.900004444,1378.229892,990.942048,5.647783,0.54,0,0,0,0,0,0,0,0.03795071,0,219.535522,1345.8,0.01
06:14.4,0.950004167,1366.187104,990.810071,5.617695,0.57,0,0,0,0,0,0,0,0.03795071,0,219.505619,1335.4,0.01
09:14.4,1.000005,1355.677379,990.422846,5.606209,0.6,0,0,0,0,0,0,0,0.03795071,0,219.475589,1325,0.01
12:14.4,1.050004722,1345.636842,990.484972,5.589435,0.63,0,0,0,0,0,0,0,0.03795071,0,219.44559,1316,0.01
15:14.4,1.100005278,1336.93638,990.763718,5.627154,0.66,0,0,0,0,0,0,0,0.03795071,0,219.415592,1307.8,0.01
18:14.4,1.150005556,1329.176859,991.032181,5.694035,0.69,0,0,0,0,0,0,0,0.03795071,0,219.38553,1301,0.01
21:14.4,1.200005556,1322.904152,991.388583,5.742438,0.72,0,0,0,0,0,0,0,0.03795071,0,219.355595,1295.4,0.01
24:14.5,1.250005833,1317.140041,991.552744,5.720456,0.75,0,0,0,0,0,0,0,0.03795071,0,219.325533,1290,0.01
27:14.5,1.300006389,1311.681035,991.281084,5.66095,0.78,0,0,0,0,0,0,0,0.03795071,0,219.295439,1284.8,0.01
30:14.5,1.350006389,1306.298065,990.983202,5.674064,0.81,0,0,0,0,0,0,0,0.03795071,0,219.265441,1279.2,0.01
33:14.5,1.400006944,1300.904903,990.683145,5.739944,0.84,0,0,0,0,0,0,0,0.03795071,0,219.235633,1273.8,0.01
36:14.5,1.450007222,1295.829048,990.729291,5.726501,0.87,0,0,0,0,0,0,0,0.03795071,0,219.205444,1268.4,0.01
39:14.5,1.5000075,1289.931094,990.600047,5.644601,0.9,0,0,0,0,0,0,0,0.03795071,0,219.175604,1262.8,0.01
42:14.5,1.550008056,1284.719973,990.254857,5.647561,0.93,0,0,0,0,0,0,0,0.03795071,0,219.145383,1257.8,0.01
45:14.5,1.600007778,1279.803637,990.05685,5.651976,0.96,0,0,0,0,0,0,0,0.03795071,0,219.115639,1253.4,0.01
48:14.5,1.650008055,1275.419753,990.042897,5.656675,0.99,0,0,0,0,0,0,0,0.03795071,0,219.085577,1249,0.01
51:14.5,1.700008333,1271.251565,989.937665,5.657842,1.02,0,0,0,0,0,0,0,0.03795071,0,219.055483,1245.4,0.01
54:14.5,1.750008611,1270.388683,997.408355,5.735331,1.05,0,0,0,0,0,0,0,0.03795071,0,218.955308,1261.4,0.05
57:14.5,1.800008889,1292.421732,1006.153761,5.675138,1.2,0,0,0,0,0,0,0,0.03795071,0,218.805411,1285.4,0.05
00:14.5,1.850009167,1315.257524,1006.209691,5.622499,1.35,0,0,0,0,0,0,0,0.03795071,0,218.65545,1305.8,0.05
03:14.5,1.900009167,1334.643427,1006.230687,5.657729,1.5,0,0,0,0,0,0,0,0.03795071,0,218.505426,1323.4,0.05
06:14.5,1.950009722,1352.010869,1006.244491,5.63502,1.65,0,0,0,0,0,0,0,0.03795071,0,218.355529,1340.2,0.05
09:14.5,2.000009444,1369.096963,1006.29984,5.602291,1.8,0,0,0,0,0,0,0,0.03795071,0,218.205505,1356.4,0.05
12:14.5,2.05001,1384.62995,1006.323594,5.665424,1.95,0,0,0,0,0,0,0,0.03795071,0,218.055385,1370.8,0.05
15:14.5,2.100010555,1398.3872,1006.405189,5.596338,2.1,0,0,0,0,0,0,0,0.03795071,0,217.905361,1383.4,0.05
18:14.5,2.150010556,1411.369949,1006.707107,5.671866,2.25,0,0,0,0,0,0,0,0.03795071,0,217.755559,1396.4,0.05
21:14.5,2.200010833,1423.753946,1006.780254,5.611394,2.4,0,0,0,0,0,0,0,0.03795071,0,217.605503,1408,0.05
24:14.5,2.250010833,1435.043531,1006.556908,5.625598,2.55,0,0,0,0,0,0,0,0.03795071,0,217.455574,1418.4,0.05
27:14.5,2.300011111,1445.036738,1006.228461,5.633524,2.7,0,0,0,0,0,0,0,0.03795071,0,217.305391,1428,0.05
30:14.5,2.350011667,1454.693178,1005.996527,5.701941,2.85,0,0,0,0,0,0,0,0.03795071,0,217.155462,1438.2,0.05
33:14.5,2.400011667,1464.638242,1005.891369,5.648096,3,0,0,0,0,0,0,0,0.03795071,0,217.005438,1446.8,0.05
36:14.5,2.450011945,1472.849841,1005.665614,5.6689,3.15,0,0,0.316667,0,0,0,0,0.03795071,0,216.855382,1454.6,0.05
39:14.5,2.500012222,1480.666368,1005.88068,5.685939,3.3,0,0,0.538889,0,0,0,0,0.03795071,0,216.70539,1462.2,0.05
42:14.5,2.5500125,1488.692451,1006.196443,5.640918,3.45,0,0,0.155556,0,0,0,0,0.03795071,0,216.555365,1471,0.051181
45:14.5,2.600012778,1497.44938,1006.532323,5.679262,3.603543,0,0,0.227778,0,0,0,0,0.03795071,0,216.405373,1479,0.05
48:14.5,2.650013056,1505.002378,1007.07478,5.646688,3.753543,0,0,0.216667,0,0,0,0,0.03795071,0,216.255254,1485.6,0.05
51:14.5,2.700013056,1511.432233,1007.614721,5.641183,3.903543,0,0,0.488889,0,0,0,0,0.03795071,0,216.105546,1492,0.05
54:14.5,2.750013611,1517.255785,1007.987661,5.670321,4.053543,0,0,0.261111,0,0,0,0,0.03795071,0,215.955364,1495.6,0.05
