Time Stamp,time,P up,P down,T,Water in,Water out,Gas in,MFC measure,MFC set,Gas out,Meter measure,
15:38.8,0,1828.726747,1715.694756,5.773345,0,0,0,0,0,0,0,2
16:38.8,0.016666667,1827.555969,1727.346791,5.867007,0,0,0,0,0,0,0,3
17:38.8,0.033333333,1826.813298,1701.66358,5.73179,0,0,0,0,0,0,0,4
18:38.8,0.049999722,1826.498629,1698.656859,5.618005,0,0,0,0,0,0,0,5
19:38.8,0.066666389,1826.143963,1694.460331,5.647271,0,0,0,0,0,0,0,6
20:38.8,0.083333611,1825.855818,1697.438124,5.612797,0,0,0,0,0,0,0,7
21:38.8,0.1,1825.571322,1698.432632,5.558553,0,0,0,0,0,0,0,8
22:38.8,0.116666667,1825.173955,1698.670862,5.509054,0,0,0,0,0,0,0,9
23:38.8,0.133333611,1824.774241,1698.676593,5.497966,0,0,0,0,0,0,0,10
24:38.8,0.150000278,1824.434883,1698.730638,5.498716,0,0,0,0,0,0,0,11
25:38.8,0.166666944,1824.067689,1698.730737,5.519084,0,0,0,0,0,0,0,12
26:38.8,0.183333889,1823.736385,1699.111592,5.517127,0,0,0,0,0,0,0,13
27:38.8,0.200000555,1823.549298,1698.923793,5.475065,0,0,0,0,0,0,0,14
28:38.8,0.2166675,1823.239277,1699.069906,5.514901,0,0,0,0,0,0,0,15
29:38.8,0.233334167,1823.136111,1699.137207,5.452515,0,0,0,0,0,0,0,16
30:38.8,0.250001111,1823.041819,1699.169723,5.47919,0,0,0,0,0,0,0,17
31:38.8,0.2666675,1822.951649,1699.247888,5.474212,0,0,0,0,0,0,0,18
32:38.8,0.283334167,1822.719454,1699.352215,5.468271,0,0,0,0,0,0,0,19
33:38.8,0.300001111,1822.56775,1699.412713,5.480909,0,0,0,0,0,0,0,0
34:38.8,0.316667778,1822.398675,1699.158436,5.514287,0,0,0,0,0,0,0,1
35:38.8,0.333334722,1822.095082,1699.030313,5.508533,0,0,0,0,0,0,0,2
36:38.8,0.350001389,1821.92205,1699.49003,5.539282,0,0,0,0,0,0,0,3
37:38.8,0.366668055,1821.752622,1700.369447,5.556282,0,0,0,0,0,0,0,4
38:38.8,0.383334722,1821.497329,1700.571647,5.540554,0,0,0,0,0,0,0,5
39:38.8,0.400001389,1821.256016,1700.360078,5.534435,0,0,0,0,0,0,0,6
40:38.8,0.416668611,1821.079091,1700.334463,5.567675,0,0,0,0,0,0,0,7
41:38.8,0.433335278,1820.796111,1699.983908,5.519588,0,0,0,0,0,0,0,8
42:38.8,0.450001944,1820.50988,1699.827056,5.508666,0,0,0,0,0,0,0,9
43:38.8,0.466668611,1820.248596,1699.763219,5.564224,0,0,0,0,0,0,0,10
44:38.8,0.483335278,1819.96067,1699.451558,5.567377,0,0,0,0,0,0,0,11
45:38.8,0.500002222,1819.705168,1699.15435,5.609211,0,0,0,0,0,0,0,12
46:38.8,0.516668889,1819.720744,1698.982249,5.571554,0,0,0,0,0,0,0,13
47:38.8,0.533335833,1819.442651,1698.64744,5.546382,0,0,0,0,0,0,0,14
48:38.8,0.550002222,1819.098809,1698.474866,5.506192,0,0,0,0,0,0,0,15
49:38.8,0.566669444,1818.936296,1698.174667,5.550505,0,0,0,0,0,0,0,16
50:38.8,0.583336111,1818.676037,1697.925797,5.52165,0,0,0,0,0,0,0,17
51:38.8,0.600002778,1818.437941,1697.604419,5.515381,0,0,0,0,0,0,0,18
52:38.8,0.616669444,1818.156741,1697.423772,5.484833,0,0,0,0,0,0,0,19
53:38.8,0.633336111,1817.802378,1697.212202,5.520775,0,0,0,0,0,0,0,0
54:38.8,0.650003055,1817.487157,1696.844579,5.601933,0,0,0,0,0,0,0,1
55:38.8,0.666669722,1817.148843,1696.68825,5.630509,0,0,0,0,0,0,0,2
56:38.8,0.683336389,1817.364557,1696.570817,6.092982,0,0,0,0,0,0,0,3
57:38.8,0.700003056,1817.457959,1696.466789,6.342935,0,0,0,0,0,0,0,4
58:38.8,0.71667,1817.455553,1696.428018,6.577483,0,0,0,0,0,0,0,5
59:38.8,0.733336944,1817.305191,1696.567802,6.497046,0,0,0,0,0,0,0,6
00:38.8,0.750003333,1816.792885,1696.036848,5.546868,0,0,0,0,0,0,0,7
01:38.8,0.766670278,1816.227119,1695.364989,5.521245,0,0,0,0,0,0,0,8
02:38.8,0.783336667,1815.598194,1694.958943,5.387834,0,0,0,0,0,0,0,9
03:38.8,0.800003611,1815.044245,1694.293587,5.401001,0,0,0,0,0,0,0,10
04:38.8,0.816670556,1814.546735,1693.975623,5.39185,0,0,0,0,0,0,0,11
05:38.8,0.833337222,1814.207705,1693.969269,5.424866,0,0,0,0,0,0,0,12
06:38.8,0.850003889,1813.918162,1693.498838,5.454978,0,0,0,0,0,0,0,13
07:38.8,0.866670556,1813.622992,1693.259212,5.484749,0,0,0,0,0,0,0,14
08:38.8,0.8833375,1813.346341,1693.263797,5.488598,0,0,0,0,0,0,0,15
09:38.8,0.900004444,1813.076422,1693.212618,5.516393,0,0,0,0,0,0,0,16
10:38.8,0.916671111,1813.186185,1692.919969,5.523691,0,0,0,0,0,0,0,17
11:38.8,0.9333375,1813.29478,1692.855409,5.542406,0,0,0,0,0,0,0,18
12:38.8,0.950004444,1813.185852,1692.846613,5.545496,0,0,0,0,0,0,0,19
13:38.8,0.966671667,1813.031503,1692.726813,5.582452,0,0,0,0,0,0,0,0
14:38.8,0.983338056,1812.951838,1692.496606,5.566883,0,0,0,0,0,0,0,1
15:38.8,1.000004722,1812.692453,1692.277188,5.452516,0,0,0,0,0,0,0,2
16:38.8,1.016671389,1812.47398,1692.516863,5.491084,0,0,0,0,0,0,0,3
17:38.8,1.033338056,1812.520987,1691.879688,5.534056,0,0,0,0,0,0,0,4
18:38.8,1.050005278,1812.384004,1691.971607,5.553344,0,0,0,0,0,0,0,5
19:38.8,1.066671667,1812.289747,1691.610137,5.538358,0,0,0,0,0,0,0,6
20:38.8,1.083338611,1812.051501,1691.502472,5.534831,0,0,0,0,0,0,0,7
21:38.8,1.100005,1811.957567,1691.469232,5.522635,0,0,0,0,0,0,0,8
22:38.8,1.116671667,1811.885404,1691.414714,5.555815,0,0,0,0,0,0,0,9
23:38.8,1.133338889,1811.764842,1691.179175,5.531395,0,0,0,0,0,0,0,10
24:38.8,1.150000001,1811.6129,1690.965014,5.552167,0,0,0,0,0,0,0,11
25:38.8,1.166666668,1811.429163,1690.851667,5.563243,0,0,0,0,0,0,0,12
26:38.8,1.183333335,1811.243766,1690.599633,5.496752,0,0,0,0,0,0,0,13
27:38.8,1.200000002,1811.114435,1690.752099,5.498749,0,0,0,0,0,0,0,14
28:38.8,1.216666669,1811.007097,1690.507789,5.51471,0,0,0,0,0,0,0,15
29:38.8,1.233333336,1810.958052,1690.031827,5.552976,0,0,0,0,0,0,0,16
30:38.8,1.250000003,1810.82256,1689.884219,5.534889,0,0,0,0,0,0,0,17
31:38.8,1.26666667,1810.577002,1689.807052,5.604587,0,0,0,0,0,0,0,18
32:38.8,1.283333337,1810.336375,1689.583397,5.567164,0,0,0,0,0,0,0,19
33:38.8,1.300000004,1810.08669,1689.564959,5.565695,0,0,0,0,0,0,0,0
34:38.8,1.316666671,1809.739343,1689.460458,5.554068,0,0,0,0,0,0,0,1
35:38.8,1.333333338,1809.585426,1689.340134,5.5815,0,0,0,0,0,0,0,2
36:38.8,1.350000005,1809.441041,1689.178523,5.595304,0,0,0,0,0,0,0,3
37:38.8,1.366666672,1809.060905,1689.069212,5.617895,0,0,0,0,0,0,0,4
38:38.8,1.383333339,1808.958092,1688.829163,5.542689,0,0,0,0,0,0,0,5
39:38.8,1.400000006,1808.600195,1688.779554,5.55183,0,0,0,0,0,0,0,6
40:38.8,1.416666673,1808.617779,1688.72516,5.541985,0,0,0,0,0,0,0,7
41:38.8,1.43333334,1809.200543,1688.561556,5.547575,0,0,0,0,0,0,0,8
42:38.8,1.450000007,1808.795952,1688.412154,5.60324,0,0,0,0,0,0,0,9
43:38.8,1.466666674,1808.404879,1688.34453,5.566183,0,0,0,0,0,0,0,10
44:38.8,1.483333341,1807.999722,1688.207412,5.601261,0,0,0,0,0,0,0,11
45:38.8,1.500000008,1807.653269,1688.297287,5.602076,0,0,0,0,0,0,0,12
46:38.8,1.516666675,1807.270703,1688.280867,5.627412,0,0,0,0,0,0,0,13
47:38.8,1.533333342,1808.557493,1688.093392,5.60557,0,0,0,0,0,0,0,14
48:38.8,1.550000009,1808.246404,1687.839464,5.57203,0,0,0,0,0,0,0,15
49:38.8,1.566666676,1807.717488,1687.77468,5.593418,0,0,0,0,0,0,0,16
50:38.8,1.583333343,1807.285185,1687.737828,5.606984,0,0,0,0,0,0,0,17
51:38.8,1.60000001,1807.55417,1687.518659,5.598685,0,0,0,0,0,0,0,18
52:38.8,1.616666677,1807.938984,1687.33689,5.59877,0,0,0,0,0,0,0,19
53:38.8,1.633333344,1807.810363,1687.030438,5.566545,0,0,0,0,0,0,0,0
54:38.8,1.650000011,1807.406632,1686.913054,5.585117,0,0,0,0,0,0,0,1
55:38.8,1.666666678,1807.251338,1686.959574,5.587904,0,0,0,0,0,0,0,2
56:38.8,1.683333345,1807.362971,1686.849591,5.544583,0,0,0,0,0,0,0,3
57:38.8,1.700000012,1806.895365,1686.846676,5.597222,0,0,0,0,0,0,0,4
58:38.8,1.716666679,1806.443668,1686.668869,5.597946,0,0,0,0,0,0,0,5
59:38.8,1.733333346,1807.179061,1686.548395,5.586496,0,0,0,0,0,0,0,6
00:38.8,1.750000013,1807.099515,1686.248471,5.6236,0,0,0,0,0,0,0,7
01:38.8,1.76666668,1807.131254,1686.209177,5.628604,0,0,0,0,0,0,0,8
02:38.8,1.783333347,1806.663046,1686.088903,5.612241,0,0,0,0,0,0,0,9
03:38.8,1.800000014,1806.813567,1685.940523,5.651995,0,0,0,0,0,0,0,10
04:38.8,1.816666681,1807.094911,1686.044327,5.610581,0,0,0,0,0,0,0,11
05:38.8,1.833333348,1806.689893,1685.816686,5.592684,0,0,0,0,0,0,0,12
06:38.8,1.850000015,1806.322515,1685.844394,5.578228,0,0,0,0,0,0,0,13
07:38.8,1.866666682,1806.586577,1685.71961,5.626323,0,0,0,0,0,0,0,14
08:38.8,1.883333349,1806.709138,1685.448489,5.581416,0,0,0,0,0,0,0,15
09:38.8,1.900000016,1806.492658,1685.381114,5.612147,0,0,0,0,0,0,0,16
10:38.8,1.916666683,1806.243143,1685.251496,5.603813,0,0,0,0,0,0,0,17
11:38.8,1.93333335,1805.85544,1685.285906,5.525063,0,0,0,0,0,0,0,18
12:38.8,1.950000017,1805.549884,1685.198124,5.575088,0,0,0,0,0,0,0,19
13:38.8,1.966666684,1805.70915,1685.090184,5.590144,0,0,0,0,0,0,0,0
14:38.8,1.983333351,1805.511464,1678.345829,5.594361,0,0,0,0,0,0,0,1
15:38.8,2.000000018,1805.164588,1672.432328,5.652056,0,0,0,0,0,0,0,2
16:38.8,2.016666685,1804.848686,1672.386357,5.587088,0,0,0,0,0,0,0,3
17:38.8,2.033333352,1805.791958,1672.243707,5.589595,0,0,0,0,0,0,0,4
18:38.8,2.050000019,1805.224671,1672.187819,5.661927,0,0,0,0,0,0,0,5
19:38.8,2.066666686,1805.10561,1672.101706,5.626812,0,0,0,0,0,0,0,6
20:38.8,2.083333353,1804.694516,1672.028425,5.595651,0,0,0,0,0,0,0,7
21:38.8,2.10000002,1804.382045,1672.077836,5.593678,0,0,0,0,0,0,0,8
22:38.8,2.116666687,1804.235412,1671.924148,5.604239,0,0,0,0,0,0,0,9
23:38.8,2.133333354,1805.318674,1671.661674,5.554353,0,0,0,0,0,0,0,10
24:38.8,2.150000021,1805.188278,1673.939003,5.558679,0,0,0,0,0,0,0,11
25:38.8,2.166666688,1805.135967,1673.673439,5.589399,0,0,0,0,0,0,0,12
26:38.8,2.183333355,1805.079052,1673.287401,5.590979,0,0,0,0,0,0,0,13
27:38.8,2.200000022,1804.896086,1673.196554,5.5631,0,0,0,0,0,0,0,14
28:38.8,2.216666689,1804.888877,1678.995637,5.531999,0,0,0,0,0,0,0,15
29:38.8,2.233333356,1804.893282,1683.059383,5.585742,0,0,0,0,0,0,0,16
30:38.8,2.250000023,1804.70958,1683.102215,5.561386,0,0,0,0,0,0,0,17
31:38.8,2.26666669,1804.782231,1683.043112,5.537875,0,0,0,0,0,0,0,18
32:38.8,2.283333357,1804.33907,1683.017697,5.524823,0,0,0,0,0,0,0,19
33:38.8,2.300000024,1804.66766,1682.82322,5.5287,0,0,0,0,0,0,0,0
34:38.8,2.316666691,1804.505968,1682.714458,5.58473,0,0,0,0,0,0,0,1
35:38.8,2.333333358,1804.491739,1682.784151,5.590918,0,0,0,0,0,0,0,2
36:38.8,2.350000025,1804.329137,1682.702772,5.591198,0,0,0,0,0,0,0,3
37:38.8,2.366666692,1803.953033,1682.646435,5.583461,0,0,0,0,0,0,0,4
38:38.8,2.383333359,1804.264287,1682.627797,5.602008,0,0,0,0,0,0,0,5
