Time Stamp,time,P up,P down,T,Water in,Water out,Gas in,Gas in M,MFC measure,MFC set,Gas out,Meter measure,Gas out corrected,Gas out M,out ls to kg,%CH4,%N2,%CO2,rho_flue,rho_ch4,rho_avg,Sample?
28:04.0,0,1502.688831,785.570395,6.862629,0,0,0,0,59.15092,75,0,0,0,0.0000000,6.68E-04,0.987,0.009,0.004,140,50,51.17,1
29:04.5,0.016666667,1502.465317,762.485941,6.889133,0,0,0.064011,1.88512E-05,58.81015,75,0.00382933,0,0.00382933,0.0000026,6.68E-04,0.987,0.009,0.004,140,50,51.17,
30:04.5,0.033333333,1502.415382,758.47168,6.894182,0,0,0.127978,3.76895E-05,59.46281,75,0.00382933,0,0.00382933,0.0000026,6.68E-04,0.987,0.009,0.004,140,50,51.17,
31:04.5,0.05,1502.430983,757.297422,6.910128,0,0,0.192318,5.66377E-05,61.40055,75,0.00459043,0,0.00459043,0.0000031,6.68E-04,0.987,0.009,0.004,140,50,51.17,
32:04.5,0.066666667,1502.349861,758.707419,6.879305,0,0,0.256812,7.56311E-05,59.90688,75,0.00486633,0.002703944,0.00486633,0.0000033,6.68E-04,0.987,0.009,0.004,140,50,51.17,
33:04.5,0.083333333,1502.363682,758.266639,6.938342,0,0,0.321646,9.47247E-05,61.50015,75,0.00504943,0,0.00504943,0.0000034,6.68E-04,0.987,0.009,0.004,140,50,51.17,
34:04.5,0.1,1502.286662,760.101195,6.878536,0,0,0.388485,0.000114409,63.46008,75,0.00520273,0.000428025,0.00520273,0.0000035,6.68E-04,0.987,0.009,0.004,140,50,51.17,
35:04.5,0.116666667,1502.27562,755.833156,6.820862,0,0,0.456269,0.000134371,63.79422,75,0.00529663,0,0.00529663,0.0000035,6.68E-04,0.987,0.009,0.004,140,50,51.17,
36:04.5,0.133333333,1502.240028,758.307378,6.896417,0,0,0.523553,0.000154186,63.12539,75,0.00529663,0,0.00529663,0.0000035,6.68E-04,0.987,0.009,0.004,140,50,51.17,
37:04.5,0.15,1502.200121,758.283184,6.826226,0,0,0.590776,0.000173984,63.44836,75,0.00529663,0,0.00529663,0.0000035,6.68E-04,0.987,0.009,0.004,140,50,51.17,
38:04.6,0.166666667,1502.540125,759.015765,6.868439,0,0,0.657558,0.000193651,62.26637,75,0.00548403,0,0.00548403,0.0000037,6.68E-04,0.987,0.009,0.004,140,50,51.17,
39:04.5,0.183333333,1502.770669,756.781767,6.889748,0,0,0.724077,0.000213241,62.4306,75,0.00548403,0,0.00548403,0.0000037,6.68E-04,0.987,0.009,0.004,140,50,51.17,
40:04.6,0.2,1502.192042,756.263794,6.846463,0,0,0.790339,0.000232755,62.21232,75,0.00585293,0,0.00585293,0.0000039,6.68E-04,0.987,0.009,0.004,140,50,51.17,
41:04.6,0.216666667,1501.800104,758.1808,6.891301,0,0,0.856192,0.000252149,62.04693,75,0.00585293,0,0.00585293,0.0000039,6.68E-04,0.987,0.012,0.001,140,50,51.17,2
42:04.6,0.233333333,1501.821188,757.479116,6.86367,0,0,0.921786,0.000271466,60.81433,75,0.00585293,0,0.00585293,0.0000039,6.68E-04,0.987,0.012,0.001,140,50,51.17,
43:04.6,0.25,1501.866037,749.66321,6.882676,0,0,0.982243,0.000289271,50.67453,75,0.00585293,0,0.00585293,0.0000039,6.68E-04,0.987,0.012,0.001,140,50,51.17,
44:04.6,0.266666667,1501.786521,757.851573,6.929157,0,0,1.039681,0.000306186,55.31094,75,0.00606433,0,0.00606433,0.0000041,6.68E-04,0.987,0.012,0.001,140,50,51.17,
45:04.6,0.283333333,1501.73944,756.914499,6.896132,0,0,1.101148,0.000324288,61.09988,75,0.00619813,0,0.00619813,0.0000041,6.68E-04,0.987,0.012,0.001,140,50,51.17,
46:04.6,0.3,1501.677682,769.616433,6.797576,0,0,1.167538,0.00034384,63.06675,75,0.00619813,0,0.00619813,0.0000041,6.68E-04,0.987,0.012,0.001,140,50,51.17,
47:04.6,0.316666667,1501.877402,774.591963,6.822407,0,0,1.234358,0.000363518,65.1971,75,0.00619813,0,0.00619813,0.0000041,6.68E-04,0.987,0.012,0.001,140,50,51.17,
