Time Stamp,time,P up,P down,T,Gas in,Gas out,Water in,Water out,MFC measure,MFC set,Meter measure,Q water
09:18.6,0,351.866722,157.999073,7.93779,0,0,0,0,0,0,0,0
09:48.1,0.491033335,351.765898,158.717726,7.975933,0,0,0.491033335,0.466667,0,0,0,1
10:18.1,0.991033337,351.72871,157.610619,7.972612,0,0,0.991033337,1,0,0,0,1
10:48.1,1.491049997,351.811363,158.481215,7.949848,0,0,1.491049997,1.433333,0,0,0,1
11:18.1,1.991049999,351.744967,157.504822,7.926545,0,0,1.991049999,2,0,0,0,1
11:48.1,2.49106667,351.790209,158.059322,7.92048,0,0,2.49106667,2.566667,0,0,0,1
12:18.1,2.991066661,351.693387,157.863276,7.915743,0,0,2.991066661,3,0,0,0,1
12:48.1,3.491050004,351.750635,156.804707,7.875017,0,0,3.491050004,3.4,0,0,0,1
13:18.1,3.991066664,351.786108,157.914854,7.901873,0,0,3.991066664,4,0,0,0,1
13:48.1,4.491066666,351.675787,155.661121,7.873269,0,0,4.491066666,4.433333,0,0,0,1
14:18.1,4.991066668,351.682872,156.690289,7.828568,0,0,4.991066668,5,0,0,0,1
14:48.1,5.491066669,351.610659,156.860272,7.800117,0,0,5.491066669,5.566667,0,0,0,1
15:18.1,5.99108333,351.630744,156.537299,7.81078,0,0,5.99108333,6,0,0,0,1
15:48.1,6.491083332,351.590698,156.743062,7.816933,0,0,6.491083332,6.466667,0,0,0,1
16:18.1,6.991083333,351.592935,157.488925,7.770062,0,0,6.991083333,7,0,0,0,1
16:48.1,7.491066665,351.624977,157.662396,7.820452,0,0,7.491066665,7.466667,0,0,0,1
17:18.1,7.991083337,351.617147,158.147478,7.824605,0,0,7.991083337,8,0,0,0,1
17:48.1,8.491083328,351.658188,158.504587,7.79182,0,0,8.491083328,8.466667,0,0,0,1
18:18.1,8.991099999,351.630719,157.41248,7.808695,0,0,8.991099999,9,0,0,0,1
18:48.1,9.491083331,351.644242,158.708955,7.813111,0,0,9.491083331,9.5,0,0,0,1
19:18.1,9.991083333,351.673252,157.57723,7.790616,0,0,9.991083333,10,0,0,0,1
19:48.1,10.4911,351.633056,157.245287,7.779328,0,0,10.4911,10.566667,0,0,0,1
20:18.1,10.99109999,351.679441,157.320387,7.769101,0,0,10.99109999,11,0,0,0,1
20:48.1,11.49111667,351.592363,158.54864,7.785553,0,0,11.49111667,11.466667,0,0,0,1
21:18.1,11.99111667,351.590002,158.341033,7.837772,0,0,11.99111667,12,0,0,0,1
21:48.1,12.4911,351.581997,157.268311,7.813016,0,0,12.4911,12.433333,0,0,0,1
22:18.1,12.99111666,351.629303,157.612513,7.793899,0,0,12.99111666,13,0,0,0,1
22:48.1,13.49111666,351.588361,157.600602,7.807503,0,0,13.49111666,13.366667,0,0,0,1
23:18.1,13.99109999,351.545257,158.207079,7.810677,0,0,13.99109999,14,0,0,0,1
23:48.1,14.49113333,351.609814,157.379191,7.823512,0,0,14.49113333,14.466667,0,0,0,1
24:18.1,14.99111667,351.552391,157.628509,7.786756,0,0,14.99111667,15,0,0,0,1
24:48.1,15.49111667,351.594824,156.725322,7.768571,0,0,15.49111667,15.333333,0,0,0,1
25:18.1,15.99111667,351.548389,159.162293,7.803184,0,0,15.99111667,16,0,0,0,1
25:48.1,16.49113333,351.542498,158.272013,7.834356,0,0,16.49113333,16.5,0,0,0,1
26:18.1,16.99113333,351.510381,157.716217,7.819494,0,0,16.99113333,17,0,0,0,1
26:48.1,17.49113333,351.474685,157.895319,7.805447,0,0,17.49113333,17.466667,0,0,0,1
27:18.1,17.99113334,351.50526,157.308078,7.817279,0,0,17.99113334,18,0,0,0,1
27:48.1,18.49113333,351.450249,157.348842,7.780032,0,0,18.49113333,18.466667,0,0,0,1
28:18.1,18.99115,351.505285,157.408792,7.785767,0,0,18.99115,19,0,0,0,1
28:48.1,19.49115,351.453556,157.950585,7.798107,0,0,19.49115,19.533333,0,0,0,1
29:18.1,19.99115,351.53601,157.342364,7.793345,0,0,19.99115,20,0,0,0,1
29:48.1,20.49115,351.537501,158.397395,7.762147,0,0,20.49115,20.5,0,0,0,1
30:18.1,20.99114999,351.521891,157.317447,7.758129,0,0,20.99114999,21,0,0,0,1
30:48.1,21.49115,351.539242,157.867711,7.759434,0,0,21.49115,21.4,0,0,0,1
31:18.1,21.99116667,351.494745,157.035437,7.773807,0,0,21.99116667,22,0,0,0,1
31:48.1,22.49115,351.605389,157.922379,7.749799,0,0,22.49115,22.4,0,0,0,1
32:18.1,22.99118333,351.481496,158.694553,7.788986,0,0,22.99118333,23,0,0,0,1
32:48.1,23.49116666,351.521866,157.285105,7.771584,0,0,23.49116666,23.366667,0,0,0,1
33:18.1,23.99116666,351.532406,158.364006,7.767581,0,0,23.99116666,24,0,0,0,1
33:48.1,24.49118333,351.442717,157.673708,7.803359,0,0,24.49118333,24.5,0,0,0,1
34:18.1,24.99115,351.561216,157.57733,7.79942,0,0,24.99115,25,0,0,0,1
